Company,CustID,Name,Address1,Address2,Address3,City,State,Zip,Country,ResaleID,SalesRepCode,TerritoryID,ShipToNum,TermsCode,ShipViaCode,PrintStatements,PrintLabels,PrintAck,FinCharges,CreditHold,GroupCode,DiscountPercent,PrimPCon,PrimBCon,PrimSCon,Comment,EstDate,FaxNum,PhoneNum,TaxExempt,MarkUpID,BillDay,OneInvPerPS,DefaultFOB,CreditIncludeOrders,CreditReviewDate,CreditHoldDate,CreditClearUserID,CreditClearDate,CreditClearTime,EDICode,CurrencyCode,LangNameID,BorderCrossing,FormatStr,BTName,BTAddress1,BTAddress2,BTAddress3,BTCity,BTState,BTZip,BTCountryNum,BTCountry,BTPhoneNum,BTFaxNum,BTFormatStr,ParentCustNum,TaxRegionCode,ICCust,ContBillDay,EMailAddress,ShippingQualifier,AllocPriorityCode,ReservePriorityCode,LinkPortNum,WebCustomer,CustomerType,NoContact,TerritoryLock,CustURL,PendingTerritoryID,ExtID,ConsolidateSO,BillFrequency,CreditIncludePI,GlobalCust,ICTrader,TaxAuthorityCode,ExternalDeliveryNote,GlobalCredIncOrd,GlobalCredIncPI,GlobalCurrencyCode,ExternalID,GlobalCreditHold,GlobalLock,CheckDuplicatePO,CreditLimit,CustPILimit,GlobalCreditLimit,GlobalPILimit,DocGlobalCreditLimit,DocGlobalPILimit,RfqAttachAllow,DiscountQualifier,AllowAltBillTo,DemandDeliveryDays,DemandDateType,DemandAddLeadTime,DemandAddAction,DemandChangeLeadTime,DemandChangeAction,DemandCancelLeadTime,DemandCancelAction,DemandNewLineLeadTime,DemandNewLineAction,DemandQtyChangeLeadTime,DemandQtyChangeAction,DemandChangeDateLeadTime,DemandChangeDateAction,TradingPartnerName,ResDelivery,SatDelivery,SatPickup,Hazmat,DocOnly,RefNotes,ApplyChrg,ChrgAmount,COD,CODFreight,CODCheck,CODAmount,GroundType,NotifyFlag,NotifyEMail,DeclaredIns,DeclaredAmt,PeriodicityCode,ServSignature,ServAlert,ServHomeDel,DeliveryType,ServDeliveryDate,ServPhone,ServInstruct,ServRelease,ServAuthNum,ServRef1,ServRef2,ServRef3,ServRef4,ServRef5,EarlyBuffer,LateBuffer,DemandUnitPriceDiff,DemandUnitPriceDiffAction,ExcFromVal,AddressVal,RebateVendorNum,RebateForm,CreditCardOrder,DemandCheckForPart,DemandCheckForPartAction,ChangedBy,ChangeDate,ChangeTime,ChargeCode,IndividualPackIDs,IntrntlShip,CertOfOrigin,CommercialInvoice,ShipExprtDeclartn,LetterOfInstr,FFID,FFCompName,FFAddress1,FFAddress2,FFAddress3,FFCity,FFState,FFZip,FFCountry,FFCountryNum,FFPhoneNum,NonStdPkg,DeliveryConf,AddlHdlgFlag,UPSQuantumView,UPSQVShipFromName,UPSQVMemo,UPSQVEmailType,FFContact,ETCAddrChg,TaxRoundRule,TaxMethod,ValidPayer,ValidSoldTo,ValidShipTo,OverrideRlsClass,AcrossNatAcc,NAParentCreditIsUsed,NACreditIsShare,NACreditPreferenceList,NAParentCreditPrc,NACreditSharedPrc,AllowOTS,ThirdPLCust,ManagedVendID,ManagedVendNum,NARlsClassCode,DirectDebiting,ReminderCode,GlbNAParentCreditIsUsed,GlbNACreditIsShare,GlbNAParentCreditPrc,GlbNACreditSharedPrc,AllowShipTo3,OTSSaveAs,CustPartOpts,HasBank,PMUID,DemandCheckForRev,OrderHoldForReview,DemandCheckForRevAction,ShipToTerrList,AcctRefNumber,ARInvoiceITCode,CreditMemoITCode,MiscCashRecITCode,LegalName,ARInvoiceAdjITCode,TaxRegReason,InvPerPackLine,OrgRegCode,DemandCloseRejSkd,OurBankCode,DemandCloseNoMatch,DmdCheckPartialShip,DmdCheckShipAction,DemandCheckCUMM,DemandCheckCUMMAction,DemandPricing,PriceTolerance,PreferredBank,CheckDateCapPromise,CheckConfirmCapPromise,CheckUpdateCapPromise,DemandCapPromiseDate,DemandCapPromiseAction,DemandCapPromiseUpdate,PeriodicBilling,DueDateCriteria,PBTerms,ERSOrder,DemandSplitSched,OTSmartString,DeferredRev,RACode,DemandCheckConfig,DemandCheckCfgAction,AllowAsAltRemitTo,FederalID,WIApplication,WICustomer,WIShippingCosts,LOQBookPCFinishing,LOQBookPCPaper,LOQBookPCPress,LOQBookPCPlates,Variations,OversPct,UndersPct,DefaultLOQstyle,DefaultOrderAcknowledgement,DefaultPackSlip,DefaultOversPricing,LOQPrepressStyle,CSR,LOQBookCaFinishing,LOQBookCapaper,LOQBookCaPress,LOQBookCatPlates,LOQVariations,DefaultInvoicestyle,AEPLOQType,BusinessCust,THBranchID,CustPricingSchema,ParamCode,AGAFIPResponsibilityCode,AGBillToProvinceCode,AGGrossIncomeTaxID,AGIDDocTypeCode,AGIDDocumentNumber,AGProvinceCode,AGUseGoodDefaultMark,Collections,CollectionsDate,DateCollectionPosted,MXMunicipio,PEIdentityDocType,PEDocumentID,PEGoodsContributor,PEWithholdAgent,PECollectionAgent,PENotFound,PENoAddress,EntityUseCode,InvcOrderCmpDflt,EInvoice,RegistrationCode,EAddress,DemandCheckForRunOutPart,DemandCheckForRunOutPartAction,EInvCompanyIDAttr,INCSTNumber,INPANNumber,COOneTimeID,COIsOneTimeCust,DEOrgType,PEGuaranteeName,PEGuaranteeAddress1,PEGuaranteeAddress2,PEGuaranteeAddress3,PEGuaranteeCity,PEGuaranteeState,PEGuaranteeZip,PEGuaranteeCountry,PEGuaranteePhoneNum,PEGuaranteeTaxID,OurSupplierCode,ECCType,MYIndustryCode,SyncToExternalCRM,ExternalCRMCustomerID,ExternalCRMCustomerType,Ownership,Industry,AnnualRevenue,NumberOfEmployees,TickerLocation,TickerSymbol,Rating,TWGUIRegNum,MXAccountNumber,ConsolidateLinesPerPart,TWTaxPayerType,TWDeductGUIFormatCode,MXCURP,PEAddressID,PEPerceptionRegime,TaxEntityType,INGSTComplianceRate,INTaxRegistrationID,MXPurchaseType,SendToFSA,MXGeneralPublic,AgingCreditHold,AgingCreditHoldDate,AgingCreditHoldSource,AgingCreditClearUserID,AgingCreditClearDate,AgingCreditCode,ImporterOfRecord,c_SugarID_c,c_SugarInactive_c,ChkSendInvoiceAck_c,SyncCRM_c,CustomerType_c,IOSCustomerKey,OldCustID_c,RollUpCustID
"ASPN","GRA01","GRANDE TRUCK CENTER","4562 IH 10 EAST","","","SAN ANTONIO","TX","78219","USA","","22","DOM","","47","BEST",False,True,True,True,False,"UNKN","0.00",0,0,0,"",9/6/2012,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64174,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","GRA01","GRA01","GRANDE TRK"
"ASPN","INS01","INST DE SOLDADURA E QUALIDADE","ESTRADA NACIONAL 249-KM3","CABANAS-LEIAO (TAGUS PARK)","APARTADO 119-2781","OEIRAS CODEX","","","Portugal","","22","INTL","","6","BEST",False,True,True,True,False,"UNKN","0.00",0,0,0,"",3/13/2010,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,63978,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","INTL","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","INS01","INS01","PORTUGAL"
"ASPN","ARK05","ARKANSAS DOT - DISTRICT 5","1673 BATESVILLE BLVD.","PO BOX 2376","","BATESVILLE","AR","725032376","USA","","22","DOM","","6","BEST",False,True,True,True,False,"DOT","0.00",0,0,0,"",10/31/2018,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64262,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","ARK05","ARK05","ARKANSAS DOT"
"ASPN","KEN01","KENTUCKY DOT TRANSPORTATION CABINET","DIVISION OF EQUIPMENT","1234 WILKINSON BLVD.","","FRANKFORT","KY","40622","USA","","22","DOM","","6","BEST",False,True,True,True,False,"DOT","0.00",0,0,0,"",3/13/2010,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,63984,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","KEN01","KEN01","KENTUCKY DOT"
"ASPN","ARK02","ARKANSAS DOT","2911 HIGHWAY 29 NORTH","","","HOPE","AR","71802","USA","","22","DOM","","6","BEST",False,True,True,True,False,"DOT","0.00",0,0,0,"",10/17/2017,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64238,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","ARK02","ARK02","ARKANSAS DOT"
"ASPN","MON02","MONTANA DOT MISSOULA","2100 W. BROADWAY ST.","","","MISSOULA","MT","59808","USA","","22","DOM","","6","BEST",False,True,True,True,False,"DOT","0.00",0,0,0,"",3/13/2010,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64025,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","MON02","MON02","MONTANA DOT"
"ASPN","MIR01","MIRK EQUIPMENT","7629 CHIPPEWA RD.","","","ORVILLE","OH","44667","USA","","22","DOM","","22","BEST",False,True,True,True,False,"UNKN","0.00",0,0,0,"",10/10/2013,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64186,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","MIR01","MIR01","MIRK"
"ASPN","NEW11","NEW YORK STATE DOT REGION #3","5450 SOUTH BAY RD.","","","N. SYRACUSE","NY","13212","USA","","22","DOM","","6","BEST",False,True,True,True,False,"DOT","0.00",0,0,0,"",3/13/2010,"10143","3154587000","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64037,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","NEW11","NEW11","NEW YORK STATE DOT"
"ASPN","MIS09","MISSISSIPPI DOT DISTRICT 7","PO BOX 627","1076 MDOT DR.","","MCCOMB","MS","39649","USA","","22","DOM","","6","BEST",False,True,True,True,False,"DOT","0.00",0,0,0,"",7/13/2010,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64132,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","MIS09","MIS09","MISSISSIPPI DOT"
"ASPN","TRA01","TRACTOR & EQUIPMENT CO.","3285 SELMA HWY.","","","MONTGOMERY","AL","36108","USA","","22","DOM","","11","BEST",False,True,True,True,False,"UNKN","0.00",0,0,0,"",3/13/2010,"","","1","",0,True,"",True,"","","","","","","USD","enu","","","","","","","","","",0,"","","","",0,"",False,1,"","","","",0,False,"CUS",False,False,"","","",False,"W",False,False,False,"",False,True,False,"","","",False,True,"0","0","0","0","0","0",False,"ADD",False,0,"S",0,"B",0,"B",0,"B",0,"B",0,"B",0,"B","",False,False,False,False,False,"",False,"0.000",False,False,False,"0.000","",False,"",False,"0.000",0,False,False,False,"","","","",False,"","","","","","",0,0,False,"B",False,False,0,"","",False,"B","DMT_ASPN",8/28/2019,64105,"",False,False,False,False,False,False,"","","","","","","","","",0,"",False,1,False,False,"","","","",False,0,"L",True,True,True,False,False,False,False,"O","0.00","0.00",True,False,"",0,"",False,"",False,False,"0.00","0.00",False,"","M",False,0,False,False,"B","DOM","","","","","","","",False,"",False,"",False,False,"B",False,"B","Internal","0.00000","",False,False,False,"","","",False,"S",0,False,False,False,False,"",False,"",False,"","","",False,False,False,False,False,False,"0.00000","0.00000","","","","","","",False,False,False,False,False,"","","1","","","","","","","","","",False,False,"","","","6","",False,False,False,False,False,"",False,False,"","",False,"B","","","","",False,"N","","","","","","","","","","","","","",False,"","","","","0.000",0,"","","","","",False,0,"","","","","",0,"","",False,False,False,"","","","","",False,"",False,False,False,"","TRA01","TRA01","TRACTOR EQUIP"
