'ImDsc.DpScItem','ImDsc.DpScType','ImDsc.Description','ImDsc.PrimeVendor','ImDsc.PlannerID','ImDsc.QtyMask','ImDsc.CostMask','ImDsc.Status','ImDsc.LeadTimCriteria','ImDsc.LeadDaysBuffer','ImDsc.PONotes'
'.60117-1','SC','060117 PIN WELD 1 1/2 X 16 7/8','MIT01','','N11.2','N11.2','A','',0,''
'020215','SC','020215 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'020234','SC','020234 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'020456','SC','020456 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'021618','SC','021618 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'021642','SC','BURN AND CHAMFER 021642','ERN01','','N11.2','N11.2','A','',0,''
'023728','SC','023728 DRILL PIN & PLATE','KRA01','','N11.2','N11.2','A','',0,''
'025280-1','SC','025280 PIN WELD 1.50 X 16.75','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'025280-2','SC','028280 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'025399','SC','025399 LINE BORE LEVEL ARM','TWO01','PL1','N11.2','N11.2','A','',0,''
'025415','SC','025415 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'025433-1','SC','025433 PIN WELDT 2.00 X 17.00','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'025433-2','SC','025433 ANNEAL QT & HEAT TREAT','MED03','','N11.2','N11.2','A','',0,''
'026287','SC','026287 BORE AND CHAMFER','KRA01','','N11.2','N11.2','A','',0,''
'026299','SC','MACHINE TO PRINT','KRA01','','N11','N11.2','A','',0,''
'026342-1','SC','026342 PIN WELDT 2.00 X 13.25','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'026342-2','SC','026342 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'026707','SC','026707 LINE BORE LINK','TWO01','','N11.2','N11.2','A','',0,''
'026707-1','SC','026707 MATERIAL & PARTIAL LABR','TWO01','','N11.2','N11.2','A','',0,''
'026715','SC','026715 WELD BOOM','CKR01','','N11.2','N11.2','A','',0,''
'026723','SC','026723 WELD BOOM','DTI01','','N11.2','N11.2','A','',0,''
'026725','SC','026725 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'026726','SC','026726 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'026731','SC','026731 BORE WELDMENT','KRA01','','N11.2','N11.2','A','',0,''
'026734','SC','026734 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'026780-1','SC','026780 PIN 1.50 4140 X 11.63','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'026780-2','SC','026780 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'026786','SC','026786 LINE BORE ARM','KRA01','','N11.2','N11.2','A','',0,''
'026844','SC','026844 WELD 4TH BOOM','PAP01','','N11.2','N11.2','A','',0,''
'026858','SC','026858 BORE AND DRILL','KRA01','','N11.2','N11.2','A','',0,''
'026861','SC','026861 BORE AND DRILL','KRA01','','N11.2','N11.2','A','',0,''
'026867','SC','026867 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'026868','SC','026868 FABRICATE PIN','KRA01','','N11.2','N11.2','A','',0,''
'026869','SC','026869 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'026871','SC','026871 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027194','SC','027194 CUT BEARING','KRA01','','N11.2','N11.2','A','',0,''
'027195','SC','027195 CUT BEARING','KRA01','','N11.2','N11.2','A','',0,''
'027198','SC','BORE WLDMT 027198','KRA01','','N11.2','N11.2','A','',0,''
'027200','SC','027200 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027202','SC','027202 MACHINE ROLLER TO PRINT','KRA01','','N11.2','N11.2','A','',0,'ASPEN AERIALS TO PROVIDE MATERIAL'
'027219','SC','027219 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027220','SC','027220 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027298','SC','027298 WELD','JEF05','','N11.2','N11.2','A','',0,''
'027361','SC','027361 TURN ROLLER','KRA01','','N11.2','N11.2','A','',0,''
'027523','SC','MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'027590','SC','027590 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'027709','SC','027709 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'027741','SC','027741 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027743','SC','027743 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027743-SP','SC','027743-SP  FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'027950','SC','027950 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'027951','SC','027951 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'027988','SC','027988  MACHINE SURFACE','TWO01','','N11.2','N11.2','A','',0,''
'027988-1','SC','027988 MATERIAL & PARTIAL LABR','TWO01','','N11.2','N11.2','A','',0,''
'027995','SC','027995  MACHINE SURFACE','TWO01','','N11.2','N11.2','A','',0,''
'027995-1','SC','027995 MATERIAL & PARTIAL LABR','TWO01','','N11.2','N11.2','A','',0,''
'028011','SC','028011 WELD','JEF05','','N11.2','N11.2','A','',0,''
'028014','SC','028014 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'028172','SC','028172 BORE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'028180','SC','028180 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'028181','SC','028181 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'028192','SC','028192 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'028595','SC','028595 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'028643','SC','028643 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'028644','SC','028644 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'029227','SC','029227 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'029229','SC','029229 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'029233','SC','029233, 029234 BORE ROLLER','KRA01','','N11.2','N11.2','A','',0,''
'029340-1','SC','029340  FAB PIN 2.50 HEX 4140','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'029340-2','SC','029340 HEAT TREAT PER PRINT','MED03','','N11.2','N11.2','A','',0,''
'029353','SC','029353 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'029354','SC','029354 CHAMFER TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'029355','SC','029355 CHAMFER TO PRINT','KRA01','','N11','N11','A','',0,''
'029358','SC','029358 CHAMFER TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'029360','SC','029360 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'029361','SC','029361 CHAMFER AND SQUARE','KRA01','','N11','N11','A','',0,''
'029487','SC','029487 PLATE WHITE ZINC','PLA01','','N11.2','N11.2','A','',0,''
'029497','SC','029497 HEADSET MODIFICATION','GRE01','','N11.2','N11.2','A','',0,''
'029499','SC','029499   CUT AND MACHINE','KRA01','','N11.2','N11.2','A','',0,''
'029669','SC','029669 BELT SWITCH MODIFICATIO','GRE01','','N11.2','N11.2','A','',0,''
'029707','SC','029707 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'029727','SC','029727 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'029728','SC','029728 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'029749','SC','029749 ASSY 30'' OEM CABLE','GRE01','','N11.2','N11.2','A','',0,''
'029752','SC','029752 ASSY 130'' OEM CABLE','GRE01','','N11.2','N11.2','A','',0,''
'029869','SC','029896 BREAK PLATE','NOR04','','N11','N11','A','',0,''
'029920','SC','029920 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'029926','SC','BORE BUSHING','KRA01','','N11.2','N11.2','A','',0,''
'029980','SC','029980 WELD BOOM','PAP01','PL1','N11.2','N11.2','A','',0,''
'033056','SC','033056 PLATE WHITE ZINC','PLA01','','N11.2','N11.2','A','',0,''
'033595','SC','033595 CLEAR ZINC PLATE','PLA01','','N11.2','N11.2','A','',0,''
'040477-2','SC','070477 LINE BORE WELDMENT.','KRA01','','N11','N11','A','',0,''
'049484','SC','049484 MACHINE SWITCH BLOCK','KRA01','','N11.2','N11.2','A','',0,''
'050141','SC','050141 TURN PIN','KRA01','','N11.2','N11.2','A','',0,''
'050207','SC','050207 BORE AND DRILL','KRA01','','N11.2','N11.2','A','',0,''
'050347','SC','050347 SWITCH BLOCK','CLO01','','N11.2','N11.2','A','',0,''
'060034','SC','060034 BORE WELDMENT','KRA01','','N11.2','N11.2','A','',0,''
'060041','SC','060041 MACHINE TO PRINT','KRA01','PL1','N11.2','N11.2','A','',0,''
'060053','SC','060053 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060115','SC','060115 PIN 1 1/2 x 10','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'060115-2','SC','060115 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'060117','SC','060117 PIN WELD 1 1/2 X 16 7/8','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'060117-2','SC','060117 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'060302','SC','060302 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060442','SC','060442 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060585','SC','060585 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060586','SC','060586 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060637','SC','060637 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060638','SC','060638 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'060658','SC','060658 WELD LEVELING ARM','','','N11.2','N11.2','A','',0,''
'060717','SC','060717 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'060722','SC','060722 MACHINE BEARING PLATE','TWO01','','N11.2','N11.2','A','',0,''
'060723','SC','060723  MACHINE BEARING PLATE','TWO01','','N11.2','N11.2','A','',0,''
'060741','SC','060741 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060742','SC','060742 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'060746','SC','060746 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060748','SC','060748 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060749','SC','060749 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060833','SC','060833 LINE BORE LINKAGE','TWO01','','N11.2','N11.2','A','',0,''
'060914','SC','060914 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060915','SC','060915 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060916','SC','060916 TURN AND DRILL','KRA01','','N11.2','N11.2','A','',0,''
'060917','SC','060917 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060918','SC','060918 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'060926','SC','060926 SHORTEN BEARING TO 3/4"','KRA01','','N11.2','N11.2','A','',0,''
'060942-1','SC','060942 PIN WELDT 1.50 X 8.38','','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'060942-2','SC','060642 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'060944-1','SC','060944 PIN WELDT 1.500 X 13.50','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'060944-2','SC','060944 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'060948','SC','060948 WELD TOWER UB30','EQU01','PL1','N11.2','N11.2','A','',0,''
'060982','SC','060982 MACHINE LEVEL PIN','KRA01','PL1','N11.2','N11.2','A','',0,''
'061002-1','SC','061002  PIN WELDT 2.00 X 10.75','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'061002-2','SC','061002 ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'061004-1','SC','061004  PIN WELDT 2.00 X 14.75','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'061004-2','SC','061004  ANNEAL QT & IND HARDEN','MED03','','N11.2','N11.2','A','',0,''
'061038','SC','061038 WELD','JEF05','','N11.2','N11.2','A','',0,''
'061121','SC','061121 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'061122','SC','061122 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'061123','SC','061123 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'061143','SC','061143 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'061148','SC','061148 FABRICATE PIN','CKR01','','N11.2','N11.2','A','',0,''
'061209-1','SC','061209 FAB PIN 2.5 HEX 4140','MIT01','','N11.2','N11.2','A','',0,'PIN NEEDS TO BE HEAT-TREATED'
'061209-2','SC','061209 HEAT TREAT TO PRINT','MED03','','N11.2','N11.2','A','',0,''
'061264','SC','MACHINE TO PRINT','KRA01','','N11','N11.2','A','',0,''
'061306','SC','061306 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'061606','SC','061606 MACHINE TO PRINT','KRA01','','N11.2','N11.2','A','',0,''
'061742','SC','061742 BORE WELDMENT','KRA01','','N11.2','N11.2','A','',0,''
'061847','SC','061847 ASSY 90'' OEM CABLE','GRE01','','N11.2','N11.2','A','',0,''
'062377','SC','062377 BORE WELDMENT','KRA01','','N11.2','N11.2','A','',0,''
'062397','SC','062397 WEAR PAD','LIE01','','N11.2','N11.2','A','',0,''
'062403','SC','062403 LED BOX ASSY','GRE01','','N11.2','N11.2','A','',0,''
'062407','SC','062407 WELD','JEF05','','N11.2','N11.2','A','',0,''
