'JobNumber','Priority','ItemNumber','PlanVersion','PlanIsRework','FinGoodLocn','JobStatusID','JobStatusDesc','SchedStatusID','SchedStatusDesc','JobTypeID','JobTypeDesc','JobFreeForm','SalesOrderNo','SysDocID','SysLinSeq','CustomerID','CustomerPO','FirmLinkToSO?','OrderQty','MfgUOM','ConvFactor','Yield','ProdnQty','ActMaterial','ActWCenter','ActLabor','ActLaborOH','ActSubContract','ActDirPurchase','EstMaterial','EstWCenter','EstLabor','EstLaborOH','EstSubContract','EstDirPurchase','DateReleased','NextDueDate','SchedStartDate','SchedEndDate','ActStartDate','ActEndDate','PendingCloseQty','PendingRejectQty','QuantityClosed','QuantityRejected','LastAppldDate','LastCloseDate','OrderSpecPlan?','SpecPlanVersn','AnchorSched?','ApplyDate','CreatedUser','CreateDate','CreateTime','AuditUser','AuditDate','AuditTime','ProcessPlanID','OnHoldReason','ProcessPlanType','DrawingNumber','DrawingRevision','JobTxt.StdTextID','Job.Text','StandardText'
'A0004904',00050,'.065715','',No,'W1','B3','Released','L1','Loaded - Normal','ML','Manual','','',0,0,'','',False,2.00000,'EA',1.00000,100.000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.74000,0.00000,6.62200,14.23600,0.00000,0.00000,07/30/2019,08/13/2019,08/13/2019,08/13/2019,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'PAT',07/30/2019,12:26:26,'PAT',07/30/2019,12:27:43,'','','','A065715','','','',''
'S/N10330',00050,'S/N10330','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,155293.80300,0.00000,12818.80600,27560.42400,0.00000,0.00000,158169.72600,0.00000,22961.77800,49367.82800,0.00000,0.00000,12/21/2018,06/28/2019,05/13/2019,06/28/2019,01/11/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00027,False,00/00/0000,'PAT',12/20/2018,16:53:38,'ADMIN',08/14/2019,08:31:32,'','','','','','','',''
'S/N10335',00050,'S/N10335','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,125423.69200,0.00000,6181.30600,13289.80400,0.00000,0.00000,164814.09800,0.00000,20768.37300,44652.00700,0.00000,0.00000,10/11/2018,04/26/2019,03/15/2019,04/26/2019,01/14/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00042,False,00/00/0000,'PAT',10/11/2018,14:48:01,'',08/14/2019,15:25:02,'','','','','','','',''
'S/N10338',00050,'S/N10338','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,108488.22100,0.00000,1013.16700,2178.31000,0.00000,0.00000,183293.26000,0.00000,22396.18300,48151.79800,0.00000,0.00000,11/02/2018,07/05/2019,05/17/2019,07/05/2019,01/14/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00044,False,00/00/0000,'PAT',11/02/2018,10:17:47,'',08/14/2019,15:25:02,'','','','','','','',''
'S/N10339',00050,'S/N10339','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,126502.13000,0.00000,19182.64400,41242.68000,0.00000,0.00000,128557.75000,0.00000,20035.03000,43075.31900,0.00000,0.00000,12/21/2018,08/09/2019,06/14/2019,07/26/2019,01/29/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00025,False,00/00/0000,'PAT',12/21/2018,06:35:56,'',08/14/2019,15:25:04,'','','','','','','',''
'S/N10340',00050,'S/N10340','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,130227.16400,0.00000,7889.90400,16963.29000,0.00000,0.00000,128720.37000,0.00000,19483.23000,41888.94900,0.00000,0.00000,12/21/2018,08/30/2019,06/21/2019,08/02/2019,01/29/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00029,False,00/00/0000,'PAT',12/21/2018,06:34:58,'ADMIN',08/14/2019,08:31:31,'','','','','','','',''
'S/N10341',00050,'S/N10341','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,72228.73000,0.00000,0.00000,0.00000,0.00000,0.00000,164619.88900,0.00000,20409.70300,43880.86700,0.00000,0.00000,04/05/2019,10/07/2019,08/23/2019,10/07/2019,05/13/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00015,False,00/00/0000,'PAT',04/05/2019,13:53:01,'',08/09/2019,15:25:36,'','','','','','','',''
'S/N10342',00050,'S/N10342','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,79912.08000,0.00000,0.00000,0.00000,0.00000,0.00000,187766.01400,0.00000,22009.92300,47321.33900,0.00000,0.00000,04/05/2019,11/13/2019,09/24/2019,11/13/2019,05/14/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00025,False,00/00/0000,'PAT',04/05/2019,13:54:22,'',07/26/2019,15:25:17,'','','','','','','',''
'S/N10343',00050,'A62E COMBO','',No,'W1','B3','Released','L1','Loaded - Normal','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,194111.35000,0.00000,20423.49800,43910.52600,0.00000,0.00000,08/09/2019,12/13/2019,10/30/2019,12/13/2019,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00005,False,00/00/0000,'PAT',08/09/2019,06:48:03,'PAT',08/09/2019,06:49:33,'','','','','','','',''
'S/N10344',00050,'S/N10344','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,42401.32000,0.00000,0.00000,0.00000,0.00000,0.00000,127707.69800,0.00000,19464.74500,41849.20600,0.00000,0.00000,05/07/2019,10/31/2019,09/20/2019,10/31/2019,05/16/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00027,False,00/00/0000,'PAT',04/05/2019,14:32:20,'',08/14/2019,15:25:08,'','','','','','','',''
'S/N10345',00050,'S/N10345','',No,'W1','B4','In Process','L1','Loaded - Normal','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,32367.19000,0.00000,24.29500,52.23400,0.00000,0.00000,136224.05300,0.00000,23410.11500,50331.75500,0.00000,0.00000,05/29/2019,12/31/2019,11/08/2019,12/31/2019,06/14/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00019,False,00/00/0000,'PAT',05/29/2019,10:05:53,'',08/09/2019,15:25:37,'','','','','','','',''
'S/N10346',00050,'S/N10346','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,35696.00000,0.00000,33.11000,71.18700,0.00000,0.00000,167530.82000,0.00000,21340.86500,45882.86600,0.00000,0.00000,07/01/2019,01/24/2020,12/10/2019,01/24/2020,08/09/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00007,False,00/00/0000,'PAT',07/01/2019,10:13:07,'',08/12/2019,15:10:59,'','','','','','','',''
'S/N10347',00050,'S/N10347','',No,'W1','B3','Released','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,209758.41100,0.00000,24989.64300,53727.73800,0.00000,0.00000,06/19/2019,01/31/2020,12/09/2019,01/31/2020,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00009,False,00/00/0000,'PAT',06/19/2019,14:47:02,'PAT',06/19/2019,15:31:51,'','','','','','','',''
'S/N10348',00050,'S/N10348','',No,'W1','B3','Released','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,144741.23700,0.00000,20513.16500,44103.30900,0.00000,0.00000,08/06/2019,03/13/2020,01/27/2020,03/13/2020,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00003,False,00/00/0000,'PAT',08/06/2019,12:09:40,'PAT',08/06/2019,12:19:17,'','','','','','','',''
'S/N10349',00050,'S/N10349','',No,'W1','B3','Released','L1','Loaded - Normal','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,151094.45200,0.00000,18857.76500,40544.19900,0.00000,0.00000,08/05/2019,01/10/2020,11/29/2019,01/10/2020,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00001,False,00/00/0000,'PAT',08/05/2019,16:44:50,'PAT',08/05/2019,16:45:48,'','','','','','','',''
'S/R10117',00050,'A6210117','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,4562.42000,0.00000,100.80800,216.73500,0.00000,0.00000,55919.52900,0.00000,16802.31000,36124.97200,0.00000,0.00000,07/02/2019,10/04/2019,08/21/2019,10/04/2019,07/03/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00030,False,00/00/0000,'PAT',02/08/2019,14:18:45,'',08/13/2019,15:18:19,'','','','','','','',''
'S/R10119',00050,'A6210119','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,58295.98800,0.00000,11930.50600,25650.59100,0.00000,0.00000,54197.12600,0.00000,17988.68000,38675.66800,0.00000,0.00000,05/23/2019,07/29/2019,06/13/2019,07/29/2019,05/28/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00030,False,00/00/0000,'PAT',02/08/2019,14:20:37,'',08/14/2019,15:25:07,'','','','','','','',''
'S/R10120',00050,'A6210120','',No,'W1','B4','In Process','L5','Changed - Reload','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,4257.40000,0.00000,658.57300,1415.93300,0.00000,0.00000,47891.00600,0.00000,16636.77000,35769.06100,0.00000,0.00000,06/20/2019,12/13/2019,10/31/2019,12/13/2019,07/02/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00025,False,00/00/0000,'PAT',02/08/2019,14:20:58,'',07/22/2019,15:28:48,'','','','','','','',''
'S10176-5',00050,'S10176-5','',No,'W1','B4','In Process','L1','Loaded - Normal','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,357.15000,0.00000,0.00000,0.00000,0.00000,0.00000,1024.81000,0.00000,459.85000,988.67800,0.00000,0.00000,03/15/2019,04/05/2019,04/05/2019,04/05/2019,04/17/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'GREG',03/15/2019,10:49:13,'',04/25/2019,15:54:55,'','','','','','','',''
'SP236775',00050,'.097536','',No,'W1','B3','Released','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,450.24000,0.00000,38.24000,86.03000,0.00000,0.00000,05/22/2015,09/03/2015,09/03/2015,09/03/2015,00/00/0000,00/00/0000,1.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',05/18/2015,03:10:36,'PAT',05/22/2015,11:34:56,'','','','B097536','','','',''
'SP259666',00050,'.102206','',No,'W1','B3','Released','A1','Not Loaded','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,03/03/2017,07/14/2017,00/00/0000,00/00/0000,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',03/03/2017,03:14:03,'PAT',03/03/2017,07:21:01,'','','','','','','',''
'SP291568',00050,'.102551','',No,'W1','B3','Released','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,12.00000,'EA',1.00000,100.000,12.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,162.00000,0.00000,01/30/2019,07/26/2019,07/26/2019,07/26/2019,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',01/30/2019,03:05:41,'PAT',01/30/2019,06:46:13,'','','','','','','',''
'SP292643',00050,'.104062','',No,'W1','B3','Released','L5','Changed - Reload','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6359.96000,0.00000,1103.60000,2372.74000,0.00000,0.00000,02/14/2019,09/19/2019,09/19/2019,09/19/2019,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00002,False,00/00/0000,'PAT',02/14/2019,10:08:18,'PAT',05/24/2019,06:47:04,'','','','','','','',''
'SP292644',00050,'.104062','',No,'W1','B4','In Process','L5','Changed - Reload','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,7100.83000,0.00000,838.18000,1802.10000,0.00000,0.00000,6359.96000,0.00000,1103.60000,2372.74000,0.00000,0.00000,02/14/2019,11/28/2019,11/28/2019,11/28/2019,07/22/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00002,False,00/00/0000,'PAT',02/14/2019,10:08:19,'ADMIN',08/14/2019,08:31:28,'','','','','','','',''
'SP292646',00050,'.104063','',No,'W1','B4','In Process','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,3359.22000,0.00000,583.86000,1255.29000,0.00000,0.00000,2750.67000,0.00000,541.00000,1163.15000,450.00000,0.00000,02/14/2019,07/15/2019,07/15/2019,07/15/2019,06/04/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00001,False,00/00/0000,'PAT',02/14/2019,10:08:19,'ADMIN',06/24/2019,11:49:51,'','','','','','','',''
'SP292647',00050,'.104063','',No,'W1','B3','Released','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2750.67000,0.00000,541.00000,1163.15000,450.00000,0.00000,02/14/2019,09/20/2019,09/20/2019,09/20/2019,00/00/0000,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00001,False,00/00/0000,'PAT',02/14/2019,10:08:20,'PAT',02/14/2019,14:06:33,'','','','','','','',''
'SP292648',00050,'.104063','',No,'W1','B4','In Process','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,3352.79000,0.00000,413.30000,888.59000,0.00000,0.00000,2750.67000,0.00000,541.00000,1163.15000,450.00000,0.00000,02/14/2019,11/29/2019,11/29/2019,11/29/2019,07/22/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,True,00001,False,00/00/0000,'PAT',02/14/2019,10:08:20,'ADMIN',08/13/2019,07:33:23,'','','','','','','',''
'SP293425',00050,'.102164','',No,'W1','B4','In Process','L1','Loaded - Normal','ML','Manual','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,1440.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1440.00000,0.00000,0.00000,0.00000,493.50000,0.00000,04/03/2019,06/05/2019,06/05/2019,06/05/2019,04/03/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'PAT',04/03/2019,10:54:31,'',04/03/2019,11:00:41,'','','','B092190','','','',''
'SP293749',00050,'.093610','',No,'W1','B4','In Process','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,2.00000,'EA',1.00000,100.000,2.00000,8607.89000,0.00000,15.05000,32.36000,0.00000,0.00000,8680.98000,0.00000,275.90000,593.19000,0.00000,0.00000,04/09/2019,08/27/2019,08/27/2019,08/27/2019,07/30/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',04/09/2019,03:06:02,'ADMIN',08/14/2019,08:31:26,'','','','','','','',''
'SP293787',00050,'.097723','',No,'W1','B4','In Process','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,10.00000,'EA',1.00000,100.000,10.00000,352.94000,0.00000,0.00000,0.00000,0.00000,0.00000,352.55000,0.00000,55.18000,118.64000,0.00000,0.00000,04/09/2019,11/13/2019,11/13/2019,11/13/2019,05/21/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',04/09/2019,03:06:37,'',05/21/2019,15:57:24,'','','','','','','',''
'SP293793',00050,'.098295','',No,'W1','B4','In Process','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,8.00000,'EA',1.00000,100.000,8.00000,0.00000,0.00000,21.52000,46.27000,0.00000,0.00000,48.72000,0.00000,14.71000,31.64000,0.00000,0.00000,04/09/2019,09/30/2019,09/30/2019,09/30/2019,04/26/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',04/09/2019,03:06:42,'ADMIN',04/29/2019,09:37:17,'','','','','','','',''
'SP293828',00050,'.101686','',No,'W1','B4','In Process','L5','Changed - Reload','SP','System Planned','','',0,0,'','',False,8.00000,'EA',1.00000,100.000,8.00000,106.72000,0.00000,0.00000,0.00000,0.00000,0.00000,106.72000,0.00000,0.00000,0.00000,400.00000,0.00000,04/09/2019,10/02/2019,10/02/2019,10/02/2019,07/12/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',04/09/2019,03:07:05,'',07/12/2019,07:37:12,'','','','','','','',''
'SP293836',00050,'.103961','',No,'W1','B4','In Process','L1','Loaded - Normal','SP','System Planned','','',0,0,'','',False,1.00000,'EA',1.00000,100.000,1.00000,2204.31000,0.00000,0.00000,0.00000,0.00000,0.00000,2202.44000,0.00000,0.00000,0.00000,0.00000,0.00000,04/09/2019,09/20/2019,09/20/2019,09/20/2019,05/13/2019,00/00/0000,0.00000,0.00000,0.00000,0.00000,00/00/0000,00/00/0000,False,,False,00/00/0000,'ADMIN',04/09/2019,03:07:19,'',06/11/2019,13:50:27,'','','','','','','',''
