'JobNumber','OperationSeq','SeqStatus','SeqStatusDesc','SeqDetType','WCorResID','WCorResDesc','EstRTInHrs','EstSUInHrs','RuntimeTime','RuntimeUOM','Schedule?','Contiguous?','Backflush?','GrpSchedID','CrossFlag','CrossTime','TimeFlag','SchedStrtDt','SchStartTime','SchedEndDt','SchEndTime','ActStartDt','ActEndDt','ActSetInHrs','ActRTInHrs','EstSetup$','ActSetup$','EstRun$','ActRun$','EstOverHead$','ActOverHead$','QtyComplete','RejectQty','HoldReasonID','OnHoldAtDate','OnHoldAtTime','RemainInMin','UsrRemnInMin','WorkCenterID','TrkSeq.UniqueID','TrkSeq.AuditUser','TrkSeq.AuditDate','TrkSeq.AuditTime','TrkSeq.DelayModifier','TrkSeq.Anchor?','TrkSeq.ActStartTime','TrkSeq.ActEndTime','JobTxt.StdTextID','SequenceText','StandardText'
'A0004904',00001,'0','Not Started','W','WCF','FABRICATION AREA',0.240000,0.000000,0.120000,'HU',Yes,Yes,No,'N','N',0.000000,'',08/13/2019,07:46:00,08/13/2019,08:00:00,00/00/0000,00/00/0000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,14.4000,0.0000,'WCF',528552,'PAT',07/30/2019,12:27:06,'0',False,00:00:00,00:00:00,'','',''
'A0004904',00001,'0','Not Started','L','01','FAB PIECE PARTS',0.240000,0.000000,0.120000,'HU',No,Yes,No,'N','N',0.000000,'',08/13/2019,00:00:00,08/13/2019,00:00:00,00/00/0000,00/00/0000,0.000000,0.000000,0.00000,0.00000,6.62200,0.00000,14.23600,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,14.4000,0.0000,'WCF',528553,'PAT',07/30/2019,12:27:06,'0',False,00:00:00,00:00:00,'','',''
'S/N10330',10001,'10','In-Process','W','WCA','UNIT ASSEMBLY',35.000000,0.000000,35.000000,'HU',Yes,Yes,No,'N','N',0.000000,'',05/13/2019,00:07:00,05/14/2019,04:37:00,06/28/2019,00/00/0000,0.000000,26.950000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,483.0000,0.0000,'WCA',753789,'ADMIN',07/11/2019,07:18:41,'',False,08:57:38,00:00:00,'','',''
'S/N10330',10001,'20','Stopped','L','02','CHASSIS PREP',35.000000,0.000000,35.000000,'HU',No,No,No,'N','N',0.000000,'',05/13/2019,00:00:00,05/14/2019,00:00:00,06/28/2019,00/00/0000,0.000000,26.950000,0.00000,0.00000,965.65000,709.20300,2076.14800,1524.78600,0.00000,0.00000,'',00/00/0000,00:00:00,483.0000,0.0000,'WCA',753790,'ADMIN',07/11/2019,07:18:33,'',False,08:57:38,00:00:00,'','',''
'S/N10330',10005,'10','In-Process','W','WCA','UNIT ASSEMBLY',3.750000,0.000000,3.750000,'HU',Yes,Yes,No,'N','N',0.000000,'',05/14/2019,04:37:00,05/14/2019,05:57:00,07/08/2019,00/00/0000,0.000000,4.020000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,0.0000,0.0000,'WCA',753791,'ADMIN',07/09/2019,08:58:48,'',False,08:44:20,00:00:00,'','',''
'S/N10330',10005,'20','Stopped','L','03A','INSTALL TAG BLOW-OFF',3.750000,0.000000,3.750000,'HU',No,No,No,'N','N',0.000000,'',05/14/2019,00:00:00,05/14/2019,00:00:00,07/08/2019,00/00/0000,0.000000,4.020000,0.00000,0.00000,103.46300,110.91200,222.44400,238.46000,0.00000,0.00000,'',00/00/0000,00:00:00,0.0000,0.0000,'WCA',753792,'ADMIN',07/09/2019,08:58:41,'',False,08:44:20,00:00:00,'','',''
'S/N10330',10010,'10','In-Process','W','WCA','UNIT ASSEMBLY',26.000000,0.000000,26.000000,'HU',Yes,Yes,No,'N','N',0.000000,'',05/14/2019,05:57:00,05/15/2019,07:14:00,07/01/2019,00/00/0000,0.000000,33.730000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,0.0000,0.0000,'WCA',753793,'ADMIN',07/11/2019,07:18:40,'',False,07:26:50,00:00:00,'','',''
'S/N10330',10010,'20','Stopped','L','05','INSTALL SUBFRAME',26.000000,0.000000,26.000000,'HU',No,No,No,'N','N',0.000000,'',05/14/2019,00:00:00,05/15/2019,00:00:00,07/01/2019,00/00/0000,0.000000,33.730000,0.00000,0.00000,717.34000,919.89200,1542.28100,1977.76800,0.00000,0.00000,'',00/00/0000,00:00:00,0.0000,0.0000,'WCA',753794,'ADMIN',07/11/2019,07:18:32,'',False,07:26:50,00:00:00,'','',''
'S/N10330',10011,'0','Not Started','W','WCA','UNIT ASSEMBLY',0.000000,0.000000,0.000000,'HU',Yes,Yes,No,'N','N',0.000000,'',05/15/2019,07:14:00,05/15/2019,07:14:00,00/00/0000,00/00/0000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,0.0000,0.0000,'WCA',753795,'PAT',12/20/2018,16:54:09,'',False,00:00:00,00:00:00,'','',''
'S/N10330',10011,'0','Not Started','L','05A','FRAME SHOP',0.000000,0.000000,0.000000,'HU',No,No,No,'N','N',0.000000,'',05/15/2019,00:00:00,05/15/2019,00:00:00,00/00/0000,00/00/0000,0.000000,0.000000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,'',00/00/0000,00:00:00,0.0000,0.0000,'WCA',753796,'PAT',12/20/2018,16:54:09,'',False,00:00:00,00:00:00,'','',''
