'JobNumber','TransxType','TransxDescription','OperationSeq','ItemNumber','Location','BinNumber','SerialLotNo','StockingQuantity','StockingUOM','UnitCost','QtyRemain','DocumentNo','PurchaseDate','PONumber','VendorID','EmployeeNo','AppliedDate','AppliedTime','EventID','EventSeq','LayerType','JobFullClosed?','AllocUniqueID','CreateUser','CreateDate','CreateTime','DocReference','ShiftCode','FullCloseApplyDate','TransxUOM','TransxQty','TransxQtyConvMultiplier','CAParentEventID','JobUnitCost'
'S/N10335','PM','Pull Material',30015,'.064847','W1','','',1.00000,'EA',792.41000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/14/2019,00:00:00,1053278,1,'0',False,746848,'PAULS',01/14/2019,15:21:27,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',30000,'.067716','W1','','',1.00000,'EA',854.25000000,0.00000,'S/N10335',00/00/0000,'','','PS01',01/14/2019,00:00:00,1053284,1,'1',False,746805,'PAULS',01/14/2019,15:21:28,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','CA','Cost Adjustment',30015,'.064847','W1','','',0.00000,'EA',0.00000000,0.00000,'S/N10335',00/00/0000,'','','PS01',01/14/2019,15:57:39,1053498,1,'0',False,746848,'BROOKE',01/14/2019,15:57:39,'Adjustment to Event ID 1053278','',00/00/0000,'EA',0.00000,1.00000,1053278,0.00000
'S/N10335','CA','Cost Adjustment',30000,'.067716','W1','','',0.00000,'EA',0.00000000,0.00000,'S/N10335',00/00/0000,'','','PS01',01/14/2019,15:57:40,1053499,1,'0',False,746805,'BROOKE',01/14/2019,15:57:40,'Adjustment to Event ID 1053284','',00/00/0000,'EA',0.00000,1.00000,1053284,0.00000
'S/N10335','PM','Pull Material',20005,'.097306','W1','','',4.00000,'EA',107.00000000,4.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054170,1,'0',False,746663,'PAULS',01/17/2019,11:07:38,'','',00/00/0000,'EA',4.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20005,'.097305','W1','','',2.00000,'EA',88.00000000,2.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054172,1,'0',False,746664,'PAULS',01/17/2019,11:07:38,'','',00/00/0000,'EA',2.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20010,'.097307','W1','','',2.00000,'EA',65.00000000,2.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054174,1,'0',False,746696,'PAULS',01/17/2019,11:07:38,'','',00/00/0000,'EA',2.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097304','W1','','',1.00000,'EA',92.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054176,1,'0',False,746748,'PAULS',01/17/2019,11:07:39,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097304','W1','','',1.00000,'EA',92.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054176,2,'0',False,746748,'PAULS',01/17/2019,11:07:39,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097300','W1','','',2.00000,'EA',165.00000000,2.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054178,1,'0',False,746755,'PAULS',01/17/2019,11:07:39,'','',00/00/0000,'EA',2.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097301','W1','','',1.00000,'EA',160.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054180,1,'0',False,746756,'PAULS',01/17/2019,11:07:40,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097302','W1','','',1.00000,'EA',110.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054182,1,'0',False,746757,'PAULS',01/17/2019,11:07:40,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097303','W1','','',1.00000,'EA',102.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054184,1,'0',False,746758,'PAULS',01/17/2019,11:07:41,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.097313','W1','','',1.00000,'EA',100.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',01/17/2019,00:00:00,1054186,1,'0',False,746766,'PAULS',01/17/2019,11:07:41,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20015,'.093009','W1','','',1.00000,'EA',627.37000000,1.00000,'S/N10335',00/00/0000,'','','PS01',02/01/2019,00:00:00,1056842,1,'0',False,746741,'PAULS',02/01/2019,15:33:35,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',10015,'.093610','W1','','',1.00000,'EA',5352.68000000,1.00000,'S/N10335',00/00/0000,'','','PS01',02/05/2019,00:00:00,1057414,1,'0',False,746547,'PAULS',02/05/2019,14:38:11,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','CA','Cost Adjustment',10015,'.093610','W1','','',0.00000,'EA',-76.39000000,0.00000,'S/N10335',00/00/0000,'','','PS01',02/07/2019,09:06:16,1057591,1,'0',False,746547,'BROOKE',02/07/2019,09:06:16,'Adjustment to Event ID 1057414','',00/00/0000,'EA',0.00000,1.00000,1057414,0.00000
'S/N10335','CA','Cost Adjustment',10015,'.093610','W1','','',0.00000,'EA',0.13000000,0.00000,'S/N10335',00/00/0000,'','','PS01',02/20/2019,09:17:39,1059997,1,'0',False,746547,'BROOKE',02/20/2019,09:17:39,'Adjustment to Event ID 1057414','',00/00/0000,'EA',0.00000,1.00000,1057414,0.00000
'S/N10335','PM','Pull Material',20010,'.097829','W1','','',1.00000,'EA',3500.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',02/22/2019,00:00:00,1060556,1,'0',False,746682,'PAULS',02/22/2019,15:30:12,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20010,'.092315','W1','','',1.00000,'EA',100.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',02/22/2019,00:00:00,1060558,1,'0',False,746683,'PAULS',02/22/2019,15:30:13,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','CA','Cost Adjustment',20010,'.097829','W1','','',0.00000,'EA',0.00000000,0.00000,'S/N10335',00/00/0000,'','','PS01',02/22/2019,15:33:40,1060560,1,'0',False,746682,'BROOKE',02/22/2019,15:33:40,'Adjustment to Event ID 1060556','',00/00/0000,'EA',0.00000,1.00000,1060556,0.00000
'S/N10335','RM','Return Material',30000,'.067716','W1','','',-1.00000,'EA',854.25000000,-1.00000,'S/N10335',00/00/0000,'','','PS01',02/26/2019,00:00:00,1060950,1,'3',False,746805,'PAULS',02/26/2019,16:28:03,'','',00/00/0000,'EA',-1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20000,'.092269','W1','','',1.00000,'EA',420.53000000,1.00000,'S/N10335',00/00/0000,'','','PS01',02/27/2019,00:00:00,1061103,1,'0',False,746619,'PAULS',02/27/2019,16:20:52,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',10001,'.102806','W1','','',6.00000,'EA',0.00000000,0.00000,'S/N10335',00/00/0000,'','','PS01',03/05/2019,00:00:00,1062369,1,'1',False,758233,'PAULS',03/05/2019,13:41:46,'','',00/00/0000,'EA',6.00000,1.00000,0,0.00000
'S/N10335','CA','Cost Adjustment',10001,'.102806','W1','','',0.00000,'EA',100.00000000,0.00000,'S/N10335',00/00/0000,'','','PS01',03/05/2019,15:06:33,1062371,1,'0',False,758233,'BROOKE',03/05/2019,15:06:33,'Adjustment to Event ID 1062369','',00/00/0000,'EA',0.00000,1.00000,1062369,0.00000
'S/N10335','PM','Pull Material',70020,'.053887','W1','','',1.00000,'EA',30.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',03/06/2019,00:00:00,1062485,1,'0',False,758237,'PAULS',03/06/2019,11:03:16,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
'S/N10335','PM','Pull Material',20000,'.091149','W1','','',1.00000,'EA',2079.00000000,1.00000,'S/N10335',00/00/0000,'','','PS01',03/19/2019,00:00:00,1064553,1,'0',False,746616,'PAULS',03/19/2019,16:26:36,'','',00/00/0000,'EA',1.00000,1.00000,0,0.00000
