'Statusflg','Pono','Orddate','Fobkey','Shipviakey','InternalBuyer','Vendkey','FOB.Description','ShipVia.Description'
'BN','42607',12/04/2018,'O','0001','','JNF01','ORIGIN','UPS GROUND'
'AP','42619',12/10/2018,'','','','TEC01','',''
'NP','42627',12/12/2018,'','0001','','TEC01','','UPS GROUND'
'NP','42849',01/16/2019,'','0001','','TEC01','','UPS GROUND'
'NP','42908',01/30/2019,'D','0007','','PLA01','DESTINATION','PICK UP'
'BN','43013',02/15/2019,'O','0001','','JNF01','ORIGIN','UPS GROUND'
'BN','43028',02/15/2019,'O','0001','','NOR25','ORIGIN','UPS GROUND'
'BN','43055',02/21/2019,'O','0005','','LAL01','ORIGIN','FREIGHT TRUCK'
'NP','43087',02/27/2019,'O','0001','','JNF01','ORIGIN','UPS GROUND'
'AP','43102',03/01/2019,'O','0006','','TEX01','ORIGIN','TRUCK'
'AP','43132',03/07/2019,'D','0008','','RIH01','DESTINATION','DELIVERED'
'NP','43267',04/09/2019,'','0007','','KRA01','','PICK UP'
'NP','43276',04/10/2019,'O','0006','','PER01','ORIGIN','TRUCK'
'BN','43297',04/11/2019,'O','0001','','JNF01','ORIGIN','UPS GROUND'
'AP','43299',04/11/2019,'O','XPO','','ISU01','ORIGIN','XPO-LTL COLLECT'
'AP','43300',04/11/2019,'O','XPO','','ISU01','ORIGIN','XPO-LTL COLLECT'
'BN','43305',04/11/2019,'','0007','','BER01','','PICK UP'
'NP','43324',04/11/2019,'','0007','','KRA01','','PICK UP'
'BN','43327',04/11/2019,'','0001','','LAW01','','UPS GROUND'
'BN','43346',04/11/2019,'O','0007','','PRO01','ORIGIN','PICK UP'
'BN','43394',05/01/2019,'O','0006','','TEX01','ORIGIN','TRUCK'
'BN','43420',05/07/2019,'O','FX','','POW03','ORIGIN','FEDEX 173758987'
'NP','43427',05/07/2019,'O','0006','','TMS01','ORIGIN','TRUCK'
'BN','43449',05/10/2019,'O','FX','','JNF01','ORIGIN','FEDEX 173758987'
'AP','43491',05/28/2019,'O','FX','','JNF01','ORIGIN','FEDEX 173758987'
'AN','43511',05/31/2019,'D','0008','','RIH01','DESTINATION','DELIVERED'
'AP','43518',06/03/2019,'O','FX','','JNF01','ORIGIN','FEDEX 173758987'
'NP','43541',06/03/2019,'O','FX','','ISU01','ORIGIN','FEDEX 173758987'
'BN','43550',06/03/2019,'O','FX','','POW03','ORIGIN','FEDEX 173758987'
'NP','43551',06/03/2019,'O','0007','','PRO01','ORIGIN','PICK UP'
'NP','43561',06/03/2019,'O','FX','','TRA02','ORIGIN','FEDEX 173758987'
'AP','43564',06/03/2019,'O','','','WAY01','ORIGIN',''
'AP','43567',06/04/2019,'O','0006','','TYG01','ORIGIN','TRUCK'
'AP','43609',06/20/2019,'O','L','','HAW04','ORIGIN','LME800 888 4950'
'AP','43610',06/20/2019,'D','0007','','PLA01','DESTINATION','PICK UP'
'AP','43614',06/21/2019,'O','0006','','TEX01','ORIGIN','TRUCK'
'AP','43627',06/21/2019,'','0007','','EQU01','','PICK UP'
'NP','43638',06/21/2019,'O','FX','','ISU01','ORIGIN','FEDEX 173758987'
'BN','43644',06/21/2019,'O','FX','','JNF01','ORIGIN','FEDEX 173758987'
'BN','43646',06/21/2019,'','0001','','LAW01','','UPS GROUND'
'BN','43651',06/21/2019,'O','XPO','','MIL03','ORIGIN','XPO-LTL COLLECT'
'BN','43652',06/21/2019,'D','0007','','MIT01','DESTINATION','PICK UP'
'BP','43653',06/21/2019,'','FX','','MUN01','','FEDEX 173758987'
'NP','43656',06/21/2019,'O','FX','','POW03','ORIGIN','FEDEX 173758987'
'BN','43660',06/21/2019,'O','FX','','SAF01','ORIGIN','FEDEX 173758987'
'NP','43666',06/21/2019,'','0007','','TWO01','','PICK UP'
'NP','43671',06/21/2019,'O','0001','','VAN02','ORIGIN','UPS GROUND'
'BN','43679',06/25/2019,'D','0001','','IND05','DESTINATION','UPS GROUND'
'AP','43686',06/28/2019,'','0007','','TWO01','','PICK UP'
'BN','43687',06/28/2019,'','0007','','TWO01','','PICK UP'
'AP','43688',06/28/2019,'','0008','','CKR01','','DELIVERED'
'BN','43706',07/11/2019,'D','0007','','RUS01','DESTINATION','PICK UP'
'NP','43715',07/12/2019,'D','0007','','PLA01','DESTINATION','PICK UP'
'NP','43716',07/12/2019,'D','0007','','PLA01','DESTINATION','PICK UP'
'NP','43717',07/12/2019,'','0007','','KRA01','','PICK UP'
'BN','43724',07/12/2019,'D','FX','','BRI02','DESTINATION','FEDEX 173758987'
'NP','43726',07/12/2019,'','0008','','CAT01','','DELIVERED'
