'Amt','Pono','RowNum','ReqPrc.RequisitType','ReqPrc.ItemNo','ReqPrc.UOMPurchase','ReqPrc.JobNo','Qtyremn','Desc','Reqdate','0.cLineTypeDesc'
2485.54000,'42607',5,'IN','.098623','EA','',4.00000,'MANIFOLD LOWER FV-10753-V1',05/31/2019,'Inventory'
2485.54000,'42607',6,'IN','.098623','EA','',3.00000,'MANIFOLD LOWER FV-10753-V1',08/23/2019,'Inventory'
0.00000,'42619',1,'NS','','EA','',1.00000,'Shop impact repair',12/10/2018,'Non-Inventory'
948.62000,'42627',1,'NS','','EA','',1.00000,'LSV19 S200-2 RIGHT ANGLE SANDER 20,000RP',12/12/2018,'Non-Inventory'
325.94000,'42849',1,'NS','','EA','',1.00000,'REPAIR 3/4 IMPACT 604937',01/16/2019,'Non-Inventory'
10.00000,'42908',1,'SC','102551P','EA','SP291568',12.00000,'102551 YELLOW ZINC PLATE',02/20/2019,'Subcontract'
1514.30000,'43013',2,'IN','.091021','EA','',5.00000,'PUMP PISTON CW ROT LOAD SENSE',09/13/2019,'Inventory'
347.00000,'43028',2,'IN','.067761','EA','',12.00000,'OIL COOLER WITH 12 VOLT FAN  E-COAT',10/11/2019,'Inventory'
1106.00000,'43055',3,'IN','.091147','EA','',5.00000,'ROTATION BEARING T2 A52/62',09/12/2019,'Inventory'
1291.00000,'43055',4,'IN','.091148','EA','',5.00000,'ROTATION BEARING T1 A52/62',09/12/2019,'Inventory'
470.00000,'43087',1,'IN','.103780','EA','',5.00000,'SUCTION MANIFOLD FV-12850-V2',07/03/2019,'Inventory'
470.00000,'43087',2,'IN','.103780','EA','',5.00000,'SUCTION MANIFOLD FV-12850-V2',09/20/2019,'Inventory'
1954.00000,'43102',1,'IN','.091154','EA','',5.00000,'CYLINDER T2 LVL  A62  6.0 X 30 X 3.0',06/07/2019,'Inventory'
1754.00000,'43102',4,'IN','.091231','EA','',5.00000,'CYLINDER A52 BOOM-3  5 X 39 X 2.50',06/07/2019,'Inventory'
1386.00000,'43102',7,'IN','.063007','EA','',5.00000,'CYLINDER 6 X 19 BOOM 1 UB30',06/07/2019,'Inventory'
1004.00000,'43102',8,'IN','.091227','EA','',3.00000,'CYLINDER A52 WALKWAY TELE 2.50 X 141.38',06/14/2019,'Inventory'
182548.00000,'43132',1,'NS','','EA','',1.00000,'CHASSIS 2020 KEWNWORTH T880 TWIN STEER',07/26/2019,'Non-Inventory'
50.00000,'43267',1,'SC','101686','EA','SP293828',8.00000,'101686 MACHINE BUSHING',05/16/2019,'Subcontract'
1446.00000,'43276',1,'IN','.095739','EA','',10.00000,'GEARBOX WORM DRIVE 44:1 RATIO',08/29/2019,'Inventory'
329.30000,'43297',2,'IN','.095190','EA','',5.00000,'PUMP CCW ROT 9.5CC SAE A 9T SAUER D',09/25/2019,'Inventory'
7570.00000,'43299',1,'IN','.103770','EA','',1.00000,'ENGINE ISUZU 10 KW  3CE1 TIER 4 FINAL',06/12/2019,'Inventory'
