'OeLin.OrderNo','OeLin.LineItemType','OeLin.RowNum','OeLin.ItemNumber','OeLin.Description','IOS.SellQtyRemain','IOS.SellUnitPrice','Total.RemainingNetWDiscWTax'
'12423','0',1,'.064073','HUCK COLLAR HPCF-R24UXL',46.00000,3.00000,138.00000
'12423','0',2,'.064072','HUCK BOLT HP8F-DT24-28',46.00000,5.48000,252.08000
'12423','0',3,'.100450','SUBFRAME A75 10270  WESTERN STAR',1.00000,14490.00000,14490.00000
'12423','0',4,'.061706','MOUNTING CLIP 1/2 A572-50 X 6 X 13',12.00000,78.48000,941.76000
'12423','0',5,'.096420','MOUNTING CLIP JUMBO SIZE  1/2 A572-50',2.00000,239.66000,479.32000
'12423','0',6,'.095939','WELDMENT PEDESTAL A75  34"  WIDE FRAME',1.00000,8349.30000,8349.30000
'12423','0',7,'.100541','WELDMENT BOOM 2 A-75',1.00000,21868.07000,21868.07000
'12423','0',8,'.066271','3RD KNUCKLE LINK WELDMENT A75',1.00000,3722.85000,3722.85000
'12423','0',9,'.070428','LINK 1" 2024-T4 ALUMINUM 6 X 34 3/4',2.00000,1240.31000,2480.62000
'12423','0',10,'.070452','CYLINDER 7 X 48 BOOM 2 A75',2.00000,12085.15000,24170.30000
'12423','0',11,'.070451','CYLINDER 7 X 35 BOOM 3 A75',2.00000,10376.95000,20753.90000
'12423','0',12,'.064962','PIN WELDMENT 3" 41L40 Q&T X 20 1/2',1.00000,605.90000,605.90000
'12423','0',13,'.064966','PIN WELDMENT 3" 41L40  X 17 1/4',1.00000,584.00000,584.00000
'12423','0',14,'.070647','PIN WELDMENT 2 1/2" 4140 TGP X 17 1/4',1.00000,328.50000,328.50000
'12423','0',15,'.093588','PIN 3.00 DIA X 16 3/4',2.00000,584.00000,1168.00000
'12423','0',16,'.064137','BEARING DX 2 1/2 X 1 1/2',4.00000,16.32000,65.28000
'12423','0',17,'.064046','BEARING DX 3" ID X 3" LG',8.00000,29.47000,235.76000
'12423','0',18,'.064047','BEARING DX 3" ID X 1 1/2" LG',4.00000,16.08000,64.32000
'12423','0',19,'.465400','NUT NYLOCK JAM 2 NF PLATED',4.00000,72.15000,288.60000
'12423','0',20,'.066004','NUT 2-1/2 12 NF PLATED -CLASS 1 THREAD',2.00000,80.55000,161.10000
'12423','0',21,'.093648','BUMPER BOOM-2 TO BOOM-3 A52/A62',1.00000,151.11000,151.11000
'12423','0',22,'.093652','CAPSCREW 3/4 -10 UNC X 6 LG GRADE8',1.00000,6.75000,6.75000
'12423','0',23,'.070642','PIN WELDMENT 2 1/2" 4140 TGP X 13 1/4',3.00000,393.25000,1179.75000
'12423','0',24,'.066205','PIPE SPACER 3" SCHED 4',1.00000,57.05000,57.05000
'12423','0',25,'.066204','PIPE SPACER 2-3/4 OD X 2-5/8 ID',2.00000,22.86000,45.72000
'12423','0',26,'.098032','ROD END PIN KEEPER .62 DIA X 6.00',4.00000,269.07000,1076.28000
'12423','0',27,'.093551','BOOM 3 OUTER WELDMENT A75 STEEL',1.00000,22392.75000,22392.75000
'12423','0',28,'.070453','CYLINDER 3 1/2 X 240   TELE A75',1.00000,11585.10000,11585.10000
'12423','0',29,'.064982','HOSE CARRIER SC75 X 12''-9" LG',1.00000,1395.00000,1395.00000
'12423','0',30,'.091187','SPACER TUBE 1.25 OD X .72 ID X 7 1/4 UHM',1.00000,26.47000,26.47000
'12423','0',31,'.093582','CATRAC BOX  COVER BOOM-3 A75 ALUMINUM',1.00000,227.03000,227.03000
'12423','0',32,'.091193','BAR CLAMP OUTER BM 3 STAINLESS 1/2"',1.00000,91.25000,91.25000
'12423','0',33,'.093593','WELDMENT HOSE GUARD A75 ALUMINUM',1.00000,931.88000,931.88000
'12423','0',34,'.093601','WEAR PAD BOOM-3 3/4 703XL 2 X 8',4.00000,86.83000,347.32000
'12423','0',35,'.091158','WEAR PAD .50 X 1.50 X 4.00',10.00000,32.04000,320.40000
'12423','0',36,'.091160','ROLLER WHEEL .50 X  2.00 DIA',6.00000,11.17000,67.02000
'12423','0',37,'.093584','PIN 2.00 DIA X 10 3/8',1.00000,164.25000,164.25000
'12423','0',38,'.091188','SPACER TUBE 1.06 OD X .72 ID X 4.25 UHMW',2.00000,21.79000,43.58000
'12423','0',39,'.095007','CAPSCREW 5/8-11 UNC X 8-1/2" LG GR 8',3.00000,18.55000,55.65000
'12423','0',40,'.095008','CAPSCREW 5/8-11 UNC X 9" LG GR 8',1.00000,15.82000,15.82000
'12423','0',41,'.095245','CAPSCREW 5/8-11 UNC X 10" LG GR 8',5.00000,16.77000,83.85000
'12423','0',42,'.093545','BOOM 3 INNER WELDMENT A75 STEEL',1.00000,17549.20000,17549.20000
'12423','0',43,'.093590','CYLINDER STRAP A75 1/4 X 1 1/2 X 13 1/8',2.00000,93.44000,186.88000
'12423','0',44,'.021837','SNAP RING 2 X .120  5160-200ZD',2.00000,3.18000,6.36000
'12423','0',45,'.093579','CATRAC BOX  WELDMENT A75 BOOM-3',1.00000,1724.62000,1724.62000
'12423','0',46,'.092264','CATRAC SUPPORT WELDMENT BM3   A62-1',1.00000,596.73000,596.73000
'12423','0',47,'.091192','PLATE CLAMP OUTER BM 3',1.00000,54.60000,54.60000
'12423','0',48,'.093573','WELDMENT WEAR PAD MOUNT A-75',2.00000,575.89000,1151.78000
'12423','0',49,'.100202','STOP PLATE BM 3 X .50 A514 GRB',1.00000,615.02000,615.02000
'12423','0',50,'.098273','WELDMENT PAD HOLDER B32',2.00000,273.91000,547.82000
'12423','0',51,'.091189','SPACER PIPE 3/4" SCH 80 PVC X 1 1/4',2.00000,11.48000,22.96000
'12423','0',52,'.093586','CATRAC TUBE WELDMENT A75 BOOM 3',1.00000,1158.58000,1158.58000
'12423','0',53,'.091190','SPACER PIPE 3/4" SCH 80 PVC X 2 1/2',1.00000,10.68000,10.68000
'12423','0',54,'.092138','WELDMENT PLATFORM MOUNT A62',1.00000,2285.38000,2285.38000
'12423','0',55,'.091167','SPACER 2.50 OD X 1.53 ID X  1.875 LG',1.00000,22.45000,22.45000
'12423','0',56,'.091174','PLATE CYLINDER RETAINER BM 4 EXT',2.00000,223.12000,446.24000
'12423','0',57,'.070421','CYLINDER 4 X 25.50  BOOM 4 A75',1.00000,5635.60000,5635.60000
'12423','0',58,'.091172','STOP PLATE BM 4 1/2 A514 GRB',2.00000,239.47000,478.94000
'12423','0',59,'.091171','PAD 1/2  UHMW  1.00 X 4.00',1.00000,10.59000,10.59000
'12423','0',60,'.091216','CYLINDER BOOM 4 TELE A75  2.5 X 56.00',1.00000,4117.20000,4117.20000
'12423','0',61,'.091201','CYLINDER LEVEL A62  3.5 X 12.38 x 1.5',1.00000,2357.90000,2357.90000
'12423','0',62,'.092414','PUSH LINK PLATFORM A75',2.00000,485.45000,970.90000
'12423','0',63,'.092413','TENSION LINK PLATFORM A75',2.00000,470.85000,941.70000
'12423','0',64,'.093589','PIN 2.00 DIA X 13 3/8',2.00000,365.00000,730.00000
'12423','0',65,'.093656','PIN 2.00 DIA X 10 1/4',1.00000,365.00000,365.00000
'12423','0',66,'.092185','PIN 1.50 DIA X 8.38',2.00000,94.90000,189.80000
'12423','0',67,'.092186','PIN 1.50 DIA X 8.00',1.00000,94.90000,94.90000
'12423','0',68,'.093171','PIN 1.50 4140 HT X 5.00',1.00000,87.60000,87.60000
'12423','0',69,'.091217','ROLLER TUBE BOOM 4 A75  1 1/4 UHMW',1.00000,64.79000,64.79000
'12423','0',70,'.091166','SPACER 2.50 OD X 1.53 ID X  3.50 LG',1.00000,26.61000,26.61000
'12423','0',71,'.095524','PIN 1.25 DIA X 6.00',1.00000,76.65000,76.65000
'12423','0',72,'.091158','WEAR PAD .50 X 1.50 X 4.00',8.00000,32.04000,256.32000
'12423','0',73,'.091157','WEARPAD .50 X 1.50 X 6.00',4.00000,12.95000,51.80000
'12423','0',74,'.092315','PLATFORM STEP A62-1 ALUMINUM',1.00000,250.00000,250.00000
'12423','0',75,'.100193','PLATFORM ASSY A75 SOLID SIDES ALUM',1.00000,13322.50000,13322.50000
'12423','0',76,'.091162','BUMPER 3.00 DIA X 2.00',2.00000,29.39000,58.78000
'12423','0',77,'.069961','BEARING DX 1-1/2  X  3/4 LG',8.00000,4.20000,33.60000
'12423','0',78,'.100551','CATRAC COVER A75 BM 4',1.00000,284.41000,284.41000
'12423','0',79,'.065781','HOSE CARRIE SC-75  X 50" LONG  5-5/8" ID',1.00000,492.50000,492.50000
'12423','0',80,'.091193','BAR CLAMP OUTER BM 3 STAINLESS 1/2"',1.00000,91.25000,91.25000
'12423','0',81,'.100550','CATRAC BOX  BASE A75 BM 4',1.00000,392.78000,392.78000
'12423','0',82,'.095275','CAPSCREW 5/8-11 UNC X 8 LG GR 8',3.00000,14.13000,42.39000
'12423','0',83,'.023036','SNAP RING 1 1/4" X .103 5160-125 ZD',2.00000,1.88000,3.76000
'12423','0',84,'.020395','BEARING DX  2 ID X 1 LG',2.00000,8.25000,16.50000
'12423','0',85,'.091195','BAR CLAMP OUTER BM-  1/2 DIA X 6 1/4',1.00000,73.00000,73.00000
'12423','0',86,'.066178','CYLINDER COVER TELE 4TH ARTICULATE',1.00000,205.02000,205.02000
'12423','0',87,'.095534','CAPSCREW 3/4 - 10 UNC X 10" LG GR 8',1.00000,33.33000,33.33000
'12423','0',88,'.097037','NUT HEX JAM 1 1/4 -12',3.00000,15.75000,47.25000
'12423','0',89,'.092390','WELDMENT B4 INNER A75',1.00000,3691.18000,3691.18000
'12423','0',90,'.092379','WELDMENT B4 OUTER A75',1.00000,4672.30000,4672.30000
'12423','0',91,'.092131','LEVEL FRAME WELDMENT A62-1',1.00000,2006.19000,2006.19000
'12423','0',92,'.095068','MOUNT WELDMENT  NON ROTATING PLATFORM',1.00000,813.98000,813.98000
'12423','0',93,'.098032','ROD END PIN KEEPER .62 DIA X 6.00',6.00000,269.07000,1614.42000
'12423','0',94,'.091189','SPACER PIPE 3/4" SCH 80 PVC X 1 1/4',1.00000,11.48000,11.48000
'12423','0',95,'.092399','CATRAC BOX  TRAY WELDMENT A75 BM 4',1.00000,912.31000,912.31000
'12423','0',96,'.092404','BM 4 CATRAC SUPPORT WELDMENT A75',1.00000,648.42000,648.42000
'12423','0',97,'.100391','BM 4 CATRAC TUBE WELDMENT A75',1.00000,642.40000,642.40000
'12423','0',98,'.091192','PLATE CLAMP OUTER BM 3',1.00000,54.60000,54.60000
'12423','0',99,'.091198','DOCK BUMPER MODIFICATION A62-1',1.00000,88.28000,88.28000
'12423','0',100,'.091194','PLATE CLAMP OUTER BM-4',1.00000,50.07000,50.07000
'12423','0',101,'.095351','ENGINE ISUZU 10 KW  3CD1T-TKPZ01',1.00000,19552.50000,19552.50000
'13202','1',1,'','PICKUP AND DELIVERY OF S/N10112',1.00000,5128.00000,5128.00000
'13657','0',1,'.091156','CYLINDER BOOM 3 A62 6.0 X 39 X 3.0',1.00000,9858.65000,9858.65000
'13760','0',1,'.095871','PROXIMITY SENSOR  8MM SENSE RANGE',2.00000,218.75000,437.50000
'13779','0',1,'.063473','SUPERFLEX CONTROLLER  SF4X-4-214',1.00000,2026.03000,2026.03000
'13779','0',2,'SK16485','SEAL KIT FOR BOOM-3 CYLINDER 065440 TX',4.00000,209.18000,836.72000
'13856','0',2,'.097453','COVER CANVAS FRC INTERCOM T1',2.00000,126.32000,252.64000
'13856','0',3,'.097160','WELDMENT CAB STAND FRC INTERCOM',1.00000,936.77000,936.77000
'13856','0',1,'.097397','INTERCOM FRC FIELD REPLACEMENT KIT',1.00000,4511.13000,4511.13000
'13857','1',2,'','SECOND DAY COMPLETION INTERCOM INSTALL',1.00000,2500.00000,2500.00000
'13857','1',1,'','ONE DAY FOR INSATLATION OF INTERCOMS',1.00000,3650.00000,3650.00000
'13881','0',9,'.065742','WELDMENT REAR SWING STEP GRIP STRUT',1.00000,332.25000,332.25000
'13881','0',8,'.065741','WELDMENT REAR TOP STEP GRIP STRUT',1.00000,763.50000,763.50000
'13881','0',7,'.033735','INCLINOMETER MODEL 2126-D',1.00000,87.50000,87.50000
'13881','0',6,'.065703','DECAL AXLE LOCK/CTWT',1.00000,36.50000,36.50000
'13881','0',5,'.065050','DECAL DANGER KEEP CLEAR',4.00000,24.96000,99.84000
'13881','0',4,'.049077','DECAL ELECTROCUTION HAZARD',3.00000,23.58000,70.74000
'13881','0',11,'.063784','LED INDICATOR YELLOW',5.00000,14.95000,74.75000
'13881','0',10,'.063780','SUPERFLEX CABLE ASSY 130 FT',1.00000,3000.37000,3000.37000
'13881','0',3,'.033815','DECAL ROTATION LIMITS 2 SHEETS',1.00000,108.52000,108.52000
'13881','0',2,'.032750','DECAL OPERATING INSTRUCTION UB SERIES',1.00000,63.22000,63.22000
'13881','0',1,'.067824','DECAL KIT',1.00000,355.51000,355.51000
'13921','0',113,'.061508','SWITCH BODY ASSEMBLY E50AR19',2.00000,219.07000,438.14000
'13921','0',128,'.047512','DECAL WARNING UNTRAINED OPERATOR',1.00000,32.85000,32.85000
'13921','0',127,'.358300','DECAL BASKET CAP 600LBS.',1.00000,22.99000,22.99000
'13921','0',114,'.061510','SWITCH LEVER W/ ROLLER E50KL539',2.00000,40.72000,81.44000
'13921','0',126,'.065621','DECAL LANYARD ATTACHMENT',3.00000,27.38000,82.14000
'13921','0',125,'.027126','DECAL UNIT DRIVE POSITION',1.00000,24.71000,24.71000
'13921','0',124,'.047521','DECAL DANGER ELECTROCUTION HAZARD',1.00000,31.72000,31.72000
'13921','0',123,'.027751','NUMBER "3" 6" AERIAL BOLD BLACK',1.00000,11.75000,11.75000
'13921','0',122,'.027748','LETTER "B"  6" AERIAL BOLD BLACK',1.00000,11.75000,11.75000
'13921','0',121,'.067374','DECAL BOOM STOPS A40-1  (2 SHEETS)',1.00000,219.00000,219.00000
'13921','0',120,'.067507','DECAL EMERGENCY STOP RED',1.00000,27.37000,27.37000
'13921','0',115,'.063570','STRAIN RELIEF NYLON .20 - .35 1/2" NPT',2.00000,2.37000,4.74000
'13921','0',119,'.060771','DECAL PLATFORM TILT INSTRUCTIONS',1.00000,21.90000,21.90000
'13921','0',118,'.047517','DECAL WARNING FALL FROM PLATFORM',1.00000,19.56000,19.56000
'13921','0',117,'.047511','DECAL WARNING UNTRAINED OPERATOR',1.00000,24.82000,24.82000
'13921','0',116,'.095928','E-STOP MOMENTARY RED SWITCH W/LED/BOX',1.00000,112.40000,112.40000
'13921','0',9,'.066870','TWIST LOCK PLUG NEMA L14-20P',2.00000,105.43000,210.86000
'13921','0',14,'.066873','BASE W/ COVER',2.00000,88.60000,177.20000
'13921','0',13,'.066872','LEVER HOOD',1.00000,159.90000,159.90000
'13921','0',12,'.066875','TWIST LOCK CONNECTOR NEMA L5-15R',1.00000,49.70000,49.70000
'13921','0',11,'.066874','TWIST LOCK PLUG NEMA L5-15P',2.00000,31.48000,62.96000
'13921','0',10,'.066871','TWIST LOCK CONNECTOR NEMA L14-20R',1.00000,139.03000,139.03000
'13921','0',8,'.063683','STRAIN RELIEF NYLON .71 - .98   1" NPT',2.00000,5.00000,10.00000
'13921','0',7,'.063847','STRAIN RELIEF NYLON .51 - .71 3/4" NPT',2.00000,3.12000,6.24000
'13921','0',6,'.063681','STRAIN RELIEF NYLON .24 - .47  1/2" NPT',7.00000,3.06000,21.42000
