'ImSup.Itemkey','ImSup.OrderCost','ImSup.OrderUOM','ImSup.Vendkey','ImSup.TerminatDate','0.lInclude?'
'.060319',44.00000,'EA','A&A01',00/00/0000,True
'.062679',89.45000,'EA','A&A01',00/00/0000,True
'.062680',93.25000,'EA','A&A01',00/00/0000,True
'.063405',137.50000,'EA','A&A01',00/00/0000,True
'.064752',203.40000,'EA','A&A01',00/00/0000,True
'.064880',403.00000,'EA','A&A01',00/00/0000,True
'.066377',130.00000,'EA','A&A01',00/00/0000,True
'.090260',325.00000,'EA','A&A01',00/00/0000,True
'.029755',16.79000,'EA','ACE01',00/00/0000,True
'.241750',8.66000,'FT','ADV01',00/00/0000,True
'.065905',8900.00000,'EA','ADV04',00/00/0000,True
'.024076',3.88000,'EA','AIR03',00/00/0000,True
'.024077',3.72000,'EA','AIR03',00/00/0000,True
'.024157',36.97000,'EA','AIR03',00/00/0000,True
'.027293',12.75000,'EA','AIR03',00/00/0000,True
'.029928',938.50000,'EA','AIR03',00/00/0000,True
'.029929',495.00000,'EA','AIR03',00/00/0000,True
'.029936',1.22000,'EA','AIR03',00/00/0000,True
'.060036',11.56000,'EA','AIR03',00/00/0000,True
'.061893',3.56000,'EA','AIR03',00/00/0000,True
'.062191',7.93000,'EA','AIR03',00/00/0000,True
'.062422',1.33000,'EA','AIR03',00/00/0000,True
'.062423',1.36000,'EA','AIR03',00/00/0000,True
'.062424',1.22000,'EA','AIR03',00/00/0000,True
'.063766',424.00000,'EA','AIR03',00/00/0000,True
'.063925',3.80000,'EA','AIR03',00/00/0000,True
'.064580',242.84000,'EA','AIR03',00/00/0000,True
'.065078',20.00000,'EA','AIR03',00/00/0000,True
'.065937',2.21000,'EA','AIR03',00/00/0000,True
'.065938',10.28000,'EA','AIR03',00/00/0000,True
'.066623',20.49000,'EA','AIR03',00/00/0000,True
'.066624',3.85000,'EA','AIR03',00/00/0000,True
'.067546',830.88000,'EA','AIR03',00/00/0000,True
'.069180',264.97000,'EA','AIR03',00/00/0000,True
'.069451',72.79000,'EA','AIR03',00/00/0000,True
'.096427',367.10000,'EA','AIR03',00/00/0000,True
'.096703',88.45000,'EA','AIR03',00/00/0000,True
'.098620',13.35000,'EA','AIR03',00/00/0000,True
'.098632',104.65000,'EA','AIR03',00/00/0000,True
'.098633',104.65000,'EA','AIR03',00/00/0000,True
'.100175',82.36000,'EA','AIR03',00/00/0000,True
'.103672',3.77000,'EA','AIR03',00/00/0000,True
'.103691',299.00000,'EA','AIR03',00/00/0000,True
'.103692',299.00000,'EA','AIR03',00/00/0000,True
'.366000',9.67000,'EA','AIR03',00/00/0000,True
'.366005',20.98000,'EA','AIR03',00/00/0000,True
'.472900',16.13000,'EA','AIR03',00/00/0000,True
'.564196',25.00000,'EA','AIR03',00/00/0000,True
'.564196',25.00000,'EA','AIR03',00/00/0000,True
'.564197',25.00000,'EA','AIR03',00/00/0000,True
'.564197',25.00000,'EA','AIR03',00/00/0000,True
'.564198',22.35000,'EA','AIR03',00/00/0000,True
'.564199',25.00000,'EA','AIR03',00/00/0000,True
'.652104',0.34000,'EA','AIR03',00/00/0000,True
'.652120',3.50000,'EA','AIR03',00/00/0000,True
'.020234',16.05000,'EA','ALL06',00/00/0000,True
'.020456',6.91000,'EA','ALL06',00/00/0000,True
'.026299',19.42000,'EA','ALL06',00/00/0000,True
'.027523',10.84000,'EA','ALL06',00/00/0000,True
'.027951',3.91000,'EA','ALL06',00/00/0000,True
'.028014',11.45000,'EA','ALL06',00/00/0000,True
'.060585',3.32000,'EA','ALL06',00/00/0000,True
'.060586',26.96000,'EA','ALL06',00/00/0000,True
'.061264',19.81000,'EA','ALL06',00/00/0000,True
'.063594',12.60000,'EA','ALL06',00/00/0000,True
'.091157',8.94000,'EA','ALL06',00/00/0000,True
'.091158',8.78000,'EA','ALL06',00/00/0000,True
'.091160',3.06000,'EA','ALL06',00/00/0000,True
'.091161',14.94000,'EA','ALL06',00/00/0000,True
'.091162',15.00000,'EA','ALL06',00/00/0000,True
'.091163',66.07000,'EA','ALL06',00/00/0000,True
'.091164',23.98000,'EA','ALL06',00/00/0000,True
'.091165',13.89000,'EA','ALL06',00/00/0000,True
'.091166',9.19000,'EA','ALL06',00/00/0000,True
'.091167',6.15000,'EA','ALL06',00/00/0000,True
'.091187',9.50000,'EA','ALL06',00/00/0000,True
'.091188',8.85000,'EA','ALL06',00/00/0000,True
'.091189',2.26000,'EA','ALL06',00/00/0000,True
'.091243',13.97000,'EA','ALL06',00/00/0000,True
'.091356',12.32000,'EA','ALL06',00/00/0000,True
'.091357',5.96000,'EA','ALL06',00/00/0000,True
'.091411',20.65000,'EA','ALL06',00/00/0000,True
'.091524',4.63000,'EA','ALL06',00/00/0000,True
'.091713',40.73000,'EA','ALL06',00/00/0000,True
'.091790',4.63000,'EA','ALL06',00/00/0000,True
'.091803',4.63000,'EA','ALL06',00/00/0000,True
'.091925',1.92000,'EA','ALL06',00/00/0000,True
'.091931',1.92000,'EA','ALL06',00/00/0000,True
'.091935',1.92000,'EA','ALL06',00/00/0000,True
'.091936',1.92000,'EA','ALL06',00/00/0000,True
'.091937',1.92000,'EA','ALL06',00/00/0000,True
'.091938',1.92000,'EA','ALL06',00/00/0000,True
'.093111',51.91000,'EA','ALL06',00/00/0000,True
'.093127',4.63000,'EA','ALL06',00/00/0000,True
'.093128',4.63000,'EA','ALL06',00/00/0000,True
'.093142',4.63000,'EA','ALL06',00/00/0000,True
'.093143',4.63000,'EA','ALL06',00/00/0000,True
'.093181',4.63000,'EA','ALL06',00/00/0000,True
'.093244',4.51000,'EA','ALL06',00/00/0000,True
'.093601',4.63000,'EA','ALL06',00/00/0000,True
'.093619',53.63000,'EA','ALL06',00/00/0000,True
'.096224',20.47000,'EA','ALL06',00/00/0000,True
'.096964',3.06000,'EA','ALL06',00/00/0000,True
'.096974',3.06000,'EA','ALL06',00/00/0000,True
'.097475',4.63000,'EA','ALL06',00/00/0000,True
'.097654',4.51000,'EA','ALL06',00/00/0000,True
'.098151',4.63000,'EA','ALL06',00/00/0000,True
'.098270',17.28000,'EA','ALL06',00/00/0000,True
'.098272',4.63000,'EA','ALL06',00/00/0000,True
'.098278',4.63000,'EA','ALL06',00/00/0000,True
