Company,PartNum,PartDescription,ProdCode,IUM,PUM,ClassID,TypeCode,CostMethod,BuyToOrder,UOMClassID,PhantomBOM,NonStock,Type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-0883-00-02,Cover for boom limit,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-0973-15-02,Lock plate,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-0973-15-03,Lock plate,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-0973-38-04,Lock plate,1202,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10035-11-04,Support bar,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10035-12-03,Bush 1,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10035-12-04,Bush 2,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10035-12-05,Bush 3,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10062-00-03,Lock plate for Ø25 & Ø30,1201,EA,EA,1200,P,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10339-00-01,Turret vtx 2015 assy,EO-00,EA,EA,2500,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VDK,00-10339-10-01,Turret weld. NB !!,EO-00,EA,EA,2500,M,A,0,Count,False,False,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
