Company,CustID,CustNum,Name,Address1,Address2,Address3,State,Zip,City,TermsCode,ShipViaCode
VE,ASP0025,2,ASPLUNDH - TENNESSEE,6949 CHARLOTTE PIKE,,,TN,37209,NASHVILLE,22,BEST
VE,TIF0000,3,TIFFIN TREE SERVICE,PHILIP NEIKIRK,144 MINERVA STREET,,OH,44883,TIFFIN,22,BEST
VE,KTI0000,4,KTI UTILITY CONSTRUCTION,PO BOX 233,,,CT,06829,GEORGETOWN,10,BEST
VE,AUT0023,5,AUTOMOTIVE REPAIR & ELEC SVC,240 E FRONT STREET,,,OH,45840,FINDLAY,22,BEST
VE,NEL0042,6,NELSON TREE CO -  N HUNTINGDON,7902 RT 30,,,PA,15642,N HUNTINGDON,22,BEST
VE,JAM0005,7,JAMES TREE SERVICE,848 E 4TH STREET,,,FL,34223,ENGLEWOOD,22,BEST
VE,DAV0031,8,DAVE'S SERVICES,131 AUBREY DRIVE,,,PA,18951,QUAKERTOWN,10,BEST
VE,MEG0000,9,FLOYD A. MEGEE MOTORS,PO BOX 330,515 N. BEDFORD STREET,,DE,19947,GEORGETOWN,22,BEST
VE,GUN0000,10,GUNCKLE TREE SERVICE,RICHARD GUNCKLE,7374 LEHMAN ROAD,,OH,45331,GREENVILLE,22,BEST
VE,IRO0006,11,IRON MOUNTAIN,2175 29TH ROAD,,,KS,67546,INMAN,22,BEST
VE,GEO0010,12,GEORGETOWNE COMMUNITIES,400A GEORGETOWNE DRIVE,,,MA,02136,HYDE PARK,10,BEST
VE,JAM0001,13,CITY OF JAMESTOWN,155 STEELE STREET,,,NY,14701,JAMESTOWN,6,BEST
VE,ENV0001,14,ENVIRO-AIR TECH,1009 NATALIE LANE,,,PA,18036,COOPERSBURG,22,BEST
VE,BER0004,15,BERNARD P. EISENHARD,1700 KATELEEN RD,,,PA,18091,WIND GAP,10,BEST
VE,PER0020,16,PERRYS AUTO,116 MAIN STREET,,,NJ,08884,SPOTSWOOD,22,BEST
VE,WHI0017,17,SOUTH WHIDBEY SCHOOL DIST 206,JEREMY LEUENBERGER,5520 MAXWELTON ROAD,,WA,98260,LANGLEY,10,BEST
VE,SUP0024,18,SUPERIOR AUTO ELECTRIC,834 PHILADELPHIA ROAD,,,PA,18042,EASTON,22,BEST
VE,HAR0005,19,HARRISBURG COMMUNITY COLLEGE,1 HACC DRIVE,,,PA,17110,HARRISBURG,10,BEST
VE,POR0005,20,PORT OF BELLINGHAM,PO BOX 1677,619 CORNWALL AVENUE,,WA,98225,BELLINGHAM,22,BEST
VE,HOL0020,21,GREG HOLLEY,11035 MILLERDALE RD.,,,FL,34613,BROOKSVILLE,22,BEST
VE,BEN0015,22,GARY BENNETT,92 HELLER HILL ROAD,,,NJ,07825,BLAIRSTOWN,22,BEST
VE,VIL0005,23,VILLAGE OF ROCKVILLE,P O BOX 950,10 SUNRISE HIGHWAY,,NY,11571,ROCKVILLE CENTRE,6,BEST
VE,EXP0006,24,EXPRESS JET AIRLINES,990 TOFFIE TERRACE,,,GA,30354,ATLANTA,22,BEST
VE,WAR0004,25,FRANK WARGO,152 LATIMER AVE,,,PA,15363,STRABANE,22,BEST
VE,MOB0006,26,MOBILE INSPECTION LLC,805 SUNSET DRIVE,,,PA,16001,BUTLER,22,BEST
VE,TRE0008,27,TREE WORX,1805 CHATEAU PLACE,,,PA,18045,EASTON,10,BEST
VE,NEP0000,28,BOROUGH OF NEPTUNE CITY,106 WEST SYLVANIA AVENUE,,,NJ,07753,NEPTUNE,6,BEST
VE,SNY0002,29,RJ SNYDER CONSTRUCTION,BOB SNYDER,917 SNYDER LANE,,PA,16239,MARIENVILLE,24,BEST
VE,HAL0004,30,HALAMA BROS. ELECTRIC,1598 VIRGINIA AVE,,,PA,15061,MONACA,22,BEST
VE,MAC0011,31,MACE NETWORK LLC,6388 VALKYRIE ST NE,,,OH,44730,EAST CANTON,10,
VE,VER0028,32,VERIZON,8701 RIDGEWORTH DRIVE,,,MD,20743,CAPITOL HEIGHTS,10,BEST
VE,RON0000,33,MF RONCA & SONS,179 MICRON ROAD,,,PA,18020,BETHLEHEM,6,BEST
VE,RON0006,34,RONSTAN PAPER,72 JAMES WAY,,,NJ,07724,EATONTOWN,10,BEST
VE,MCA0002,35,CITY OF MCALLEN,PO BOX 220,ACCOUNTS PAYABLE,,TX,78505-0220,MCALLEN,6,BEST
VE,HEA0003,36,GARY HEARN,10411 WINDING RIDGE CIRCLE,,,VA,23238,RICHMOND,22,BEST
VE,DET0000,37,DETARS AUTO ELECTRIC,324 CUSTER AVE,,,PA,15690,VANDERGRIFT,22,BEST
VE,RAI0002,38,RAINBOW SIGNS INC,BILL CAIN,1306 EAST DURST AVE,,SC,29649,GREENWOOD,22,BEST
VE,CAB0028,39,CABLEVISION - RIVERHEAD,254 OLD COUNTRY ROAD,,,NY,11901,RIVERHEAD,6,BEST
VE,BAS0000,40,FRANK BASON,211 VALLEY ROAD,,,NJ,08844,HILLSBOROUGH,22,BEST
VE,ATL0006,41,ATLANTIC COUNTY DPW,PO BOX 719,,,NJ,08225,NORTHFIELD,6,BEST
VE,CUS0014,42,CUSTOM TRUCK AND EQUIPMENT LLC,20716 DURAND AVENUE,,,WI,53182,UNION GROVE,22,BEST
VE,ZIE0003,43,JOHN ZIEGELHOFER,4101 PARTRIDGE LANE,,,OH,43623,TOLEDO,25,BEST
VE,GRO0007,44,GROUPE LD INC,2370 RUE BAUMAN,,,QC,G7S 4S4,JONQUIERE,22,BEST
VE,BER0001,45,BER CORPORATION,16 PEACH TREE PLACE,,,NJ,7458,SADDLE RIVER,10,BEST
VE,RIC0004,46,FRED RICHARDS,330 BUCKHORN DRIVE,,,NJ,07823,BELVIDERE,22,BEST
VE,MID0022,47,MIDWEST REPAIR INC,1487 COUNTY RD 1150 NORTH,,,IL,61530,EUREKA,22,BEST
VE,NAZ0000,48,NAZARETH BORO,134 SOUTH MAIN ST,,,PA,18064,NAZARETH,6,BEST
VE,ROW0001,49,ROWELINE CONSTRUCTION,1000 LINDEN ST,,,PA,17801,SUNBURY,22,BEST
VE,SCH0032,50,ERIK SCHOLZ,112 BURLINGAME HILL,,,MA,01220,ADAMS,22,BEST
VE,DES0007,51,DESOTO COUNTY,ROAD & BRIDGE DEPARTMENT,1894 NE MCKAY STREET,,FL,34266,ARCADIA,6,BEST
