Company,VendorID,Name,VendorNum,Address1,Address2,Address3,City,State,ZIP,PhoneNum,DefaultFOB,TermsCode
VE,1ST0000,"1ST GEAR, INC.",1,PO BOX 52,8668 KAPP DRIVE,,PEOSTA,IA,52068,888-771-5576,,99
VE,4IM0000,"4 IMPRINT, INC.",2,25303 NETWORK PLACE,,,CHICAGO,IL,60673-1253,877-446-7746,,1
VE,A1T0000,A-1 TOWING SERVICE,3,701 UNION BLVD,,,ALLENTOWN,PA,18109,610-774-9994,,00
VE,AAC0000,AACE SECURITY,4,PO BOX 21360,,,LEHIGH VALLEY,PA,18002-1360,(610) 597-2918,,5
VE,AAE0001,A A ELECTRIC,5,1 MADISON STREET,,,EAST RUTHERFORD,NJ,7073,(800) 237-8274,,99
VE,ABL0000,"ABLE, INC.",6,11110 N. SARA ROAD,,,YUKON,OK,73099,(405) 728-2253,,1
VE,ABL0001,ABLE 2 PRODUCTS,7,PO BOX 543,804 EAST HIGHWAY 428,,CASSVILLE,MO,65625,800-641-4098,,99
VE,ACC0001,"ACCESS NOW, LLC",8,PO BOX 72189,,,THORNDALE,PA,19372,(800) 889-8488,,1
VE,ACC0006,ACCUWEBHOSTING.COM,9,C/O PAYMENT PROCESSING,PO BOX 233,,NORWOOD,NJ,7648,,,00
VE,ACT0000,ACTION MACHINERY CO. INC,10,PO BOX 20045,,,LEHIGH VALLEY,PA,18002-0045,610-691-6677,,1
VE,ACT0008,ACTS FLEET MAINTENANCE,11,10625 LEXINGTON DRIVE,,,KNOXVILLE,TN,37932,(866) 938-5910,,5
VE,ADV0000,ADVANCED BUILDING MAINTENANCE,12,215 NORTH SCENIC STREET,,,ALLENTOWN,PA,18104,610-391-1882,,00
VE,ADV0001,ADVANCE AUTO PARTS - PA,13,2633 EASTON AVE,,,BETHLEHEM,PA,,610-861-3699,,00
VE,ADV0002,ADVANCED FLUID SYSTEMS,14,P O BOX 360,THIRD & GREEN STREET,,ROYERSFORD,PA,19648,(610) 948-1000,,1
VE,ADV0004,ADVANCED MOBILE POWER SYSTEMS,15,876 BARBARA DRIVE,,,COPLAY,PA,18037,(610) 440-0195,,1
VE,ADV0005,ADVANCE LUBRICATION SYSTEMS,16,600 WESTTOWN ROAD,,,WEST CHESTER,PA,19382,(800) 455-6023,,1
VE,ADV0006,ADVANCE AUTO PARTS-OH,17,4566 TUSCARAWS ST W,,,CANTON,OH,44708,330-478-9538,,99
VE,ADV0007,ADVENTURE RV CENTER,18,2910 NEWPORT HIGHWAY,,,SEVIERVILLE,TN,37876,865-429-3968,,99
VE,ADV0012,ADVANCED AUTO PARTS-NAZARETH,19,AAP FINANCIAL SERVICES,PO BOX 742063,,ATLANTA,GA,30374-2063,610-759-8380,,1
VE,ADV0014,ADVANCED SERVICE AND PARTS,20,416 CLAYS CROSSING,,,LEBANON,PA,17042,(717) 274-9396,,99
VE,AER0001,AERO-LIFT,21,10 FIVE ACRE DRIVE,,,EDISON,NJ,8820,201-207-7780,,1
VE,AER0011,AERO CLIMATE CONTROL INC.,22,2012 INDUSTRIAL BLVD.,,,ROCKWALL,TX,75087,972-772-5506,,99
VE,AER0012,"AEROTEK COMMERCIAL STAFFING, INC",23,PO BOX 198531,,,ATLANTA,GA,30384-8531,(866) 466-0420,,6
VE,AIM0001,AIMS POWER,24,9550 GATEWAY DRIVE,,,RENO,NV,89521,(775) 359-6703,,99
VE,AIR0000,AIRLINE HYDRAULICS CORP,25,PO BOX 8500,S-2275,,PHILADELPHIA,PA,19178-7618,(215) 638-4700,,1
VE,AIR0002,AIR BRAKE & POWER EQUIP. LLC,26,1048 BAKERY ROAD,,,POTTSVILLE,PA,17901-8402,(610) 262-3350,,1
VE,AIR0009,"AIRGAS USA, INC",27,PO BOX 802576,,,CHICAGO,IL,60680,(330) 453-8414,,1
VE,AIR0013,"AIR PARTS, INC.",28,2500 NW 6TH STREET,,,OCALA,FL,34475,(800) 223-7167,,99
VE,AIR0015,"AIR DELIGHTS, INC.",29,11177 SW 5TH; STE 100,,,BEAVERTON,OR,97005,(800) 440-5556,,99
VE,AIR0016,AIRFLOW DEFLECTORS,30,3974 rue Notre Dame West,Suite 101,,MONTREAL,QC,H4C 1R1,(866) 717-8737,,1
VE,AKR0000,AKRON BRASS COMPANY,31,4566 PAYSPHERE CIRCLE,,,CHICAGO,IL,60674,(800) 228-1161,,1
VE,ALH0001,A.L.HANSEN,32,701 PERSHING ROAD,,,WAUKEGAN,IL,60085,(847) 244-8900,,99
VE,ALL0000,ALL PHASE ELECTRIC,33,PO BOX 780758,,,PHILADELPHIA,PA,19178-0758,(610) 868-1471,,1
VE,ALL0001,"ALLIANCE EQUIPMENT CO, INC",34,1000 NORTH UNION AVENUE,,,ALLIANCE,OH,44601,(800) 383-2290,,1
VE,ALL0002,ALLIED ELECTRONICS INC.,35,PO BOX 2325,,,FORT WORTH,TX,76113-2325,(800) 433-5700,,1
VE,ALL0003,ALLDATA,36,PO BOX 848379,,,DALLAS,TX,75284-8379,800-829-8727,,1
VE,ALL0007,ALLEGHENY YORK CO,37,P O BOX 3327,,,YORK,PA,17402,(800) 258-3851,,1
VE,ALL0013,MASTER ELTRONICS,38,275B MARCUS BLVD,,,HAUPPAUGE,NY,11788,631-434-9000,,99
VE,ALL0021,"ALLIANCE WIRELESS TECHNOLOGIES, INC.",39,9940 W SAM HOUSTON PKWY S,,,HOUSTON,TX,77099,713-690-4100,,99
VE,ALM0000,ALMCO,40,507 WEST FRONT ST,,,ALBERT LEA,MN,56007,507-377-4412,,00
VE,ALP0000,"A.L. PAVEY CO., INC",41,6535 PROMWAY N.W.,,,CANTON,OH,44720,(330) 494-1405,,1
VE,ALT0000,"ALTEC INDUSTRIES, INC.",42,PO BOX 11407,,,BIRMINGHAM,AL,35246-0414,(877) 462-5832,,1
VE,ALT0001,ALTEC NUECO,43,PO BOX 2153,DEPT. 3251,,BIRMINGHAM,AL,35287-3251,800-860-0183,,1
VE,ALT0007,KYLE ALTEMOSE,44,7500 MT EATON RD,,,SAYLORSBURG,PA,18353,,,00
VE,AMA0001,AMAZON.COM,45,WWW.AMAZON.COM,,,,,,,,99
VE,AMA0002,AM AUTO PARTS,46,,,,,,,,,00
