Month,JobNo,CustPONo,CustomerID,Customer,OrderDate,RequestDate,NeedByDate,Shipping,Model,LiftSerialNo,LiftRecd,LiftWIP,VehicleType,ChassisNo,ChassisRecd,ChassisWIP,Supply,,SalesLineValue,WorkOrderNo,StockIssued,,Installation,Lift,Vehicle,WIP,NewServiceCall,NewJob,OpCode,OpCode2
March,17569,472175,CUST1224,Scottish Power No6,2019/02/28,2019/03/22,2019/03/29,Collect,VOE36MHi,UT180002,Yes,Yes,U530,,Yes,No,FI,,115565,09430 / 09503 / 09827 / 10073 / 10159,Yes,,INS VOE36MHi,VOE36MHi,VDL2000-086,77899,0,,,
March,17570,472176,CUST1224,Scottish Power No7,2019/02/28,2019/03/22,2019/03/29,Collect,VOE36MHi,UT180003,Yes,Yes,U530,,Yes,No,FI,,115565,09431 / 09504 / 09828 / 10072 / 10160,Yes,,INS VOE36MHi,VOE36MHi,VDL2000-086,78562,0,,,
March,17848,1730026224,1292,BT Fleet No61,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180086,Yes,Yes,Iveco 50C15 E6,,Yes,No,FI,,43780,09768 / 09984,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,29225,0,,,
March,17850,1730026224,1292,BT Fleet No63,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180088,Yes,Yes,Iveco 50C15 E6,ZCFC150B805216473,Yes,No,FI,,43780,09770 / 09986,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,28016,0,,,
March,17851,1730026224,1292,BT Fleet No64,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180089,Yes,Yes,Iveco 50C15 E6,ZCFC150B705217646,Yes,No,FI,,43780,09771 / 09987,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,23629,0,,,
March,17852,1730026224,1292,BT Fleet No65,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180090,Yes,Yes,Iveco 50C15 E6,ZCFC150B705215606,Yes,No,FI,,43780,09772 / 09988,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,26578,0,,,
March,17853,1730026224,1292,BT Fleet No66,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180091,Yes,Yes,Iveco 50C15 E6,ZCFC150B505215605,Yes,No,FI,,43780,09773 / 09989,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,25892,0,,,
March,17854,1730026224,1292,BT Fleet No67,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180092,Yes,Yes,Iveco 50C15 E6,ZCFC150B405217345,Yes,No,FI,,43780,09774 / 09990,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,26976,0,,,
March,17855,1730026224,1292,BT Fleet No68,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180093,Yes,Yes,Iveco 50C15 E6,ZCFC150B605219534,Yes,No,FI,,43780,09775 / 09991,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,25929,0,,,
March,17856,1730026224,1292,BT Fleet No69,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180094,Yes,Yes,Iveco 50C15 E6,ZCFC150B405220133,Yes,No,FI,,43780,09776 / 09992,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,26536,0,,,
March,17857,1730026224,1292,BT Fleet No70,2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180095,Yes,Yes,Iveco 50C15 E6,ZCFC150B805221219,Yes,No,FI,,43780,09777 / 09993,Yes,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,28850,0,,,
March,17916,1492A1,1292,BT Fleet No6,2019/02/28,2019/03/22,2019/03/29,Collect,VTX-240-E6,DKVTX-180032,Yes,Yes,Iveco Daily 50C CC,ZCFC150B90D620730,Yes,No,VDL Stk,,111412,09883 / 10150,Yes,,INS VTX-240,VTX-240,VDL2000-058,0,0,,,
March,17917,1492A1,1292,BT Fleet No7,2019/02/28,2019/03/22,2019/03/29,Collect,VTX-240-E6,DKVTX-180033,Yes,Yes,Iveco Daily 50C CC,ZCFC150B00D620731,Yes,No,VDL Stk,,111412,09884 / 10151,Yes,,INS VTX-240,VTX-240,VDL2000-058,0,0,,,
March,17921,1492A1,1292,BT Fleet No11,2019/02/28,2019/03/22,2019/03/29,Collect,VTX-240-E6,DKVTX-180034,Yes,Yes,Iveco Daily 50C CC,ZCFC150BX0D620736,Yes,No,VDL Stk,,111412,09888 / 10155,Yes,,INS VTX-240,VTX-240,VDL2000-058,103352,0,,,
March,17758,10660,CUST539,CVL Systems Ltd,2019/02/28,2019/03/22,2019/03/29,Collect,VTL-135-F,DKVTL-180013,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXJA64014,Yes,No,VDL Stk,,52749,10245,Yes,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,18503,0,,,
March,17759,6928,CUST721,Loxam Access Ireland,2019/02/28,2019/03/22,2019/03/29,Deliver,VTL-135-F,DKVTL-180014,Yes,Yes,Ford Transit Euro 6,WFOXTTGXJM57899,Yes,No,VDL Stk,,50192.5,10243,Yes,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,18742,0,,,
March,17760,6928,CUST721,Loxam Access Ireland,2019/02/28,2019/03/22,2019/03/29,Deliver,VTL-135-F,DKVTL-180015,Yes,Yes,Ford Transit Euro 6,WFOXTTGXJM57914,Yes,No,VDL Stk,,50192.5,10244,Yes,,INS VTL-135-F,VTL-135-F-S,VDL2000-053,18295,0,,,
March,17693,SG03415,N0100,Sir Robert McAlpine (NETV),2019/02/28,2019/03/22,2019/03/29,Collect,ETM38-F E6,VF180097,Yes,Yes,Iveco 50C15 E6,ZCFC250D405264552,Yes,No,FI,,33534,09890,No,,INS ETM38-F E6,ETM38-F E6,VDL2000-073,29683,0,,,
March,17859,LC374070MB,CUST708,Leeds Commercials No1,2019/02/28,2019/03/22,2019/03/29,Collect,LAT-38-135-H,DKLAT-190002,Yes,No,Isuzu D-Max Euro 6,MPATFS87JJT007650,Yes,Yes,VDL Stk,,52177,10018,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,43488,0,,,
March,17860,LC374071MB,CUST708,Leeds Commercials No2,2019/02/28,2019/03/22,2019/03/29,Collect,LAT-38-135-H,DKLAT-190002,Yes,No,Isuzu D-Max Euro 6,MPATFS87JJT007654,Yes,Yes,VDL Stk,,52177,10019,No,,INS LAT-38-135-H E6 DMAX,LAT-38-135-H E6 (Isuzu),VDL2000-064,43743,0,,,
March,17761,LC374068MB,CUST708,Leeds Commercials No1,2019/02/28,2019/03/22,2019/03/29,Collect,VTL-135-F,DKVTL-180016,Yes,Yes,Ford Transit Euro 6,WFOXXXTTTGXJA66903,Yes,No,FI,,29997,10266,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,17168,0,,,
March,17762,LC374069MB,CUST708,Leeds Commercials No2,2019/02/28,2019/03/22,2019/03/29,Collect,VTL-135-F,DKVTL-180017,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXJA66904,Yes,No,FI,,29997,10267,No,,INS VTL-135-F,VTL-135-F-S,VDL2000-072,16881,0,,,
March,17780,8549,CUST1388,Epsilon Lighting,2019/02/28,2019/03/22,2019/03/29,Deliver,VTL-135-F,DKVTL-180035,Yes,Yes,Ford Transit Euro 6,WFOXXXTTGXJM57893,Yes,No,VDL Stk,,51936,10235,No,,INS VTL-135-F,VTL-135-F-D,VDL2000-053,0,0,,,
