Date,Account,Name,Reference,Type,Value,VATValue,PaidIndicator
7/27/2017,   CC735,WILKINSON AND GAVILLER LTD,INV477159,Invoice,"3,931.24",655.21,
8/2/2017,   CC735,WILKINSON AND GAVILLER LTD,CRE8757,C/Note,"-3,931.24",-655.21,
4/30/2018,   CC735,WILKINSON AND GAVILLER LTD,INV482348,Invoice,"3,967.20",661.20,
4/30/2018,   CC735,WILKINSON AND GAVILLER LTD,CRE9009,C/Note,"-3,967.20",-661.20,
7/4/2018,   CC735,WILKINSON AND GAVILLER LTD,INV483575,Invoice,116.18,19.36,
8/7/2018,   CC735,WILKINSON AND GAVILLER LTD,CRE9090,C/Note,-116.18,-19.36,
1/16/2019,1292,BT FLEET FINANCE,INV487257,Invoice,"8,142.00","1,357.00",
1/21/2019,1292,BT FLEET FINANCE,INV487304,Invoice,"52,536.00","8,756.00",
1/21/2019,1292,BT FLEET FINANCE,INV487305,Invoice,"52,536.00","8,756.00",
1/21/2019,1292,BT FLEET FINANCE,INV487306,Invoice,"52,536.00","8,756.00",
1/25/2019,1292,BT FLEET FINANCE,INV487418,Invoice,"52,536.00","8,756.00",
1/25/2019,1292,BT FLEET FINANCE,INV487419,Invoice,"133,650.40","22,238.40",
1/25/2019,1292,BT FLEET FINANCE,INV487420,Invoice,"133,650.40","22,238.40",
1/25/2019,1292,BT FLEET FINANCE,INV487421,Invoice,"133,650.40","22,238.40",
1/25/2019,1292,BT FLEET FINANCE,INV487422,Invoice,"133,650.40","22,238.40",
1/31/2019,1292,BT FLEET FINANCE,INV487530,Invoice,"52,536.00","8,756.00",
1/31/2019,1292,BT FLEET FINANCE,INV487531,Invoice,"52,536.00","8,756.00",
1/31/2019,1292,BT FLEET FINANCE,INV487532,Invoice,"52,536.00","8,756.00",
2/6/2019,1292,BT FLEET FINANCE,INV487705,Invoice,"52,536.00","8,756.00",
2/6/2019,1292,BT FLEET FINANCE,INV487706,Invoice,"52,536.00","8,756.00",
2/6/2019,1292,BT FLEET FINANCE,INV487707,Invoice,"52,536.00","8,756.00",
2/13/2019,1292,BT FLEET FINANCE,INV487754,Invoice,"52,536.00","8,756.00",
2/13/2019,1292,BT FLEET FINANCE,INV487755,Invoice,"52,536.00","8,756.00",
2/13/2019,1292,BT FLEET FINANCE,INV487756,Invoice,"52,536.00","8,756.00",
2/19/2019,1292,BT FLEET FINANCE,INV487884,Invoice,"52,536.00","8,756.00",
2/19/2019,1292,BT FLEET FINANCE,INV487885,Invoice,"52,536.00","8,756.00",
2/19/2019,1292,BT FLEET FINANCE,INV487886,Invoice,"52,536.00","8,756.00",
2/21/2019,1292,BT FLEET FINANCE,INV487915,Invoice,"52,536.00","8,756.00",
5/2/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV482441,Invoice,171.60,28.60,
5/2/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV482442,Invoice,171.60,28.60,
6/19/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV483261,Invoice,219.60,36.60,
7/4/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV483597,Invoice,171.60,28.60,
7/4/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV483598,Invoice,171.60,28.60,
7/18/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV483844,Invoice,227.93,37.99,
7/18/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV483845,Invoice,709.34,118.23,
7/18/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV483846,Invoice,414.47,69.08,
8/2/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV484149,Invoice,171.60,28.60,
8/2/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV484150,Invoice,171.60,28.60,
9/18/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV484921,Invoice,784.69,130.78,
10/22/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV485549,Invoice,266.51,44.42,
12/6/2018,B0010,BALFOUR BEATTY PLANT & FLEET,INV486530,Invoice,369.79,61.63,
1/7/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487013,Invoice,183.00,30.50,
1/7/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487014,Invoice,358.80,59.80,
1/7/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487015,Invoice,358.80,59.80,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487351,Invoice,"3,201.63",533.60,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487352,Invoice,358.80,59.80,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487353,Invoice,377.71,62.95,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487354,Invoice,256.20,42.70,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487355,Invoice,183.00,30.50,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487356,Invoice,"3,201.63",533.60,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487357,Invoice,129.26,21.54,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487358,Invoice,384.77,64.13,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487359,Invoice,377.71,62.95,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487360,Invoice,377.71,62.95,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487361,Invoice,358.80,59.80,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487362,Invoice,368.57,61.43,
1/24/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487363,Invoice,377.71,62.95,
2/19/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487837,Invoice,"3,362.81",560.47,
2/21/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487942,Invoice,"3,761.73",626.95,
2/21/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487943,Invoice,117.43,19.57,
2/21/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487944,Invoice,358.80,59.80,
2/21/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487945,Invoice,358.80,59.80,
2/21/2019,B0010,BALFOUR BEATTY PLANT & FLEET,INV487946,Invoice,358.80,59.80,
