PONum,Stock_Reference,Supplier,Quantity_Required,Quantity_Received,OpenQty,Date_Created,Reference,Date_Required,Order_Completed,Invoice_Completed,Ledger_Account,Supplier_Account,Cost_Code,Price,Value,Discount_Percentage,Discount_Value
ON 81908,VDL1017-163,SUN445,50.00,40.00,10.00,2017/06/14,VDL1017-163,2017/06/14,No,No,SUN445,SUN445,,204.77,10238.50,0.00,10238.50
ON 83380,27420-1,SUN642,200.00,100.00,100.00,2017/10/26,27420-1,2018/05/29,No,No,SUN642,SUN642,,17.80,3560.00,0.00,3560.00
ON 84871,,S150,1.00,0.00,1.00,2018/03/14,Diesel,2018/03/14,No,No,S150,S150,,0.00,0.00,0.00,0.00
ON 84879,VDL1892-1,W045,9.00,4.00,5.00,2018/03/15,S Power,2018/11/06,No,No,W045,W045,,3795.00,34155.00,0.00,34155.00
ON 85005,PM-H003ML,SUN527,100.00,0.00,100.00,2018/03/25,blanket,2019/02/27,No,No,SUN527,SUN527,,43.95,4395.00,0.00,4395.00
ON 85162,VDL1372-15,W045,24.00,0.00,24.00,2018/04/09,S Power,2018/04/23,No,No,W045,W045,,50.00,1200.00,0.00,1200.00
ON 85162,VDL1372-16,W045,24.00,22.00,2.00,2018/04/09,S Power,2018/04/23,No,No,W045,W045,,75.00,1800.00,0.00,1800.00
ON 85162,VDL1372-2,W045,2.00,0.00,2.00,2018/04/09,S Power,2018/11/16,No,No,W045,W045,,450.00,900.00,0.00,900.00
ON 85162,VDL1590-51/1,W045,4.00,0.00,4.00,2018/04/09,S Power,2018/11/06,No,No,W045,W045,,25.00,100.00,0.00,100.00
ON 85162,VDL1661-10,W045,20.00,4.00,16.00,2018/04/09,S Power,2018/11/06,No,No,W045,W045,,5.00,100.00,0.00,100.00
ON 85162,VDL1786-59,W045,4.00,0.00,4.00,2018/04/09,S Power,2018/11/06,No,No,W045,W045,,395.00,1580.00,0.00,1580.00
ON 85162,VDL1892-42,W045,10.00,2.00,8.00,2018/04/09,S Power,2018/11/06,No,No,W045,W045,,295.00,2950.00,0.00,2950.00
ON 85162,VDL1892-71,W045,10.00,2.00,8.00,2018/04/09,S Power,2018/11/06,No,No,W045,W045,,525.00,5250.00,0.00,5250.00
ON 85200,VDL1892-57,SUN445,12.00,7.00,5.00,2018/04/11,S Power,2018/04/11,No,No,SUN445,SUN445,,220.00,2640.00,0.00,2640.00
ON 85200,VDL1892-58,SUN445,12.00,7.00,5.00,2018/04/11,S Power,2018/04/11,No,No,SUN445,SUN445,,85.00,1020.00,0.00,1020.00
ON 85200,VDL1892-60,SUN445,12.00,7.00,5.00,2018/04/11,S Power,2018/04/11,No,No,SUN445,SUN445,,1740.00,20880.00,0.00,20880.00
ON 85200,VDL1892-67,SUN445,12.00,7.00,5.00,2018/04/11,S Power,2018/04/11,No,No,SUN445,SUN445,,470.00,5640.00,0.00,5640.00
ON 85201,VDL1892-20,W045,7.00,3.00,4.00,2018/04/11,S Power,2018/11/06,No,No,W045,W045,,4695.00,32865.00,0.00,32865.00
ON 85305,VDL1017-104,SUN445,50.00,41.00,9.00,2018/04/19,1017-104,2018/04/19,No,No,SUN445,SUN445,,48.00,2400.00,0.00,2400.00
ON 85396,VDL1414-1,SUN91,30.00,18.00,12.00,2018/04/26,1414-1,2018/11/10,No,No,SUN91,SUN91,,565.47,16964.10,0.00,16964.10
ON 85426,,V080,8.00,6.00,2.00,2018/05/01,VTL-135-F x 8off,2018/11/19,No,No,V080,V080,,14547.82,116382.56,0.00,116382.56
ON 85549,LE-LLPMVA,SUN527,200.00,100.00,100.00,2018/05/14,LE-LLPMVA,2018/05/14,No,No,SUN527,SUN527,,24.70,4940.00,0.00,4940.00
ON 85758,,SUN408,70.00,50.00,20.00,2018/06/04,BT,2018/06/04,No,No,SUN408,SUN408,,4511.00,315770.00,0.00,315770.00
ON 85764,VDL1836-ELECTBOX,B020,20.00,8.00,12.00,2018/06/04,BOXES,2018/06/04,No,No,B020,B020,,318.00,6360.00,0.00,6360.00
ON 85769,,SUN819,4.00,0.00,4.00,2018/06/04,JM0106 0226,2018/06/04,No,No,SUN819,SUN819,,0.00,0.00,0.00,0.00
ON 85769,,SUN819,4.00,0.00,4.00,2018/06/04,JM0106 0226,2018/06/04,No,No,SUN819,SUN819,,672.00,168.00,0.00,168.00
ON 85769,,SUN819,4.00,0.00,4.00,2018/06/04,JM0106 0226,2018/06/04,No,No,SUN819,SUN819,,2400.00,600.00,0.00,600.00
ON 85782,,V080,12.00,0.00,12.00,2018/06/05,LAT-38-135-H,2018/06/05,No,No,V080,V080,,23596.16,283153.92,0.00,283153.92
ON 85802,EO-04-08-201,V080,105.00,90.00,15.00,2018/06/06,Hyd Valve,2018/06/06,No,No,V080,V080,,422.61,44374.05,0.00,44374.05
ON 85804,EO-01-16-06,V080,60.00,40.00,20.00,2018/06/06,TRANSIT,2018/06/06,No,No,V080,V080,,735.65,44139.00,0.00,44139.00
ON 85804,EO-06-10-29-88,V080,60.00,40.00,20.00,2018/06/06,TRANSIT,2018/06/06,No,No,V080,V080,,145.22,8713.20,0.00,8713.20
ON 85804,EO-08-40-32-77,V080,60.00,40.00,20.00,2018/06/06,TRANSIT,2018/06/06,No,No,V080,V080,,831.30,49878.00,0.00,49878.00
ON 85859,B21393,SUN568,26.00,20.00,6.00,2018/06/12,LIGHTS,2018/06/12,No,No,SUN568,SUN568,,195.00,5070.00,0.00,5070.00
ON 85859,B21394,SUN568,26.00,20.00,6.00,2018/06/12,LIGHTS,2018/06/12,No,No,SUN568,SUN568,,195.00,5070.00,0.00,5070.00
ON 85896,,V080,24.00,8.00,16.00,2018/06/13,VTL-145-F,2018/06/13,No,No,V080,V080,,15023.59,360566.16,0.00,360566.16
ON 85897,,V080,8.00,0.00,8.00,2018/06/13,VTL-145-F,2018/06/13,No,No,V080,V080,,17387.17,139097.36,0.00,139097.36
ON 85979,,SUN804,70.00,37.00,33.00,2018/06/20,BT UNDERSEAL,2018/06/20,No,No,SUN804,SUN804,,200.00,14000.00,0.00,14000.00
ON 85980,,SUN409,70.00,9.00,61.00,2018/06/20,BT,2018/06/20,No,No,SUN409,SUN409,,1300.00,91000.00,0.00,91000.00
ON 85982,,SUN820,70.00,19.00,51.00,2018/06/20,BT,2018/06/20,No,No,SUN820,SUN820,,200.00,14000.00,0.00,14000.00
ON 85989,RC4XDV/6,SUN527,192.00,48.00,144.00,2018/06/20,RC4XDV/6,2018/06/20,No,No,SUN527,SUN527,,15.50,2976.00,0.00,2976.00
ON 86018,10029-1,T700,20.00,18.00,2.00,2018/06/22,     1170-598,2018/06/29,No,No,T700,T700,,8.63,172.60,0.00,172.60
ON 86122,VDL1414-2,SUN91,20.00,14.00,6.00,2018/06/29,1414-2,2018/11/11,No,No,SUN91,SUN91,,565.47,11309.40,0.00,11309.40
ON 86278,,V080,12.00,4.00,8.00,2018/07/16,LAT-38-135H,2018/07/16,No,No,V080,V080,,23596.16,283153.92,0.00,283153.92
ON 86281,,V080,11.00,0.00,11.00,2018/07/16,VTX-240-E6,2018/07/16,No,No,V080,V080,,69303.56,762339.16,0.00,762339.16
ON 86333,VDL1017-26,R500,100.00,50.00,50.00,2018/07/19,1017-26,2018/07/19,No,No,R500,R500,,11.70,1170.00,0.00,1170.00
ON 86363,VDL1873-20,W045,5.00,0.00,5.00,2018/07/20,17586-90,2018/07/20,No,No,W045,W045,,2875.00,14375.00,0.00,14375.00
ON 86973,11168-2,C250,21.00,0.00,21.00,2018/09/13,RE-STOCK,2018/11/22,No,No,C250,C250,,828.00,17388.00,0.00,17388.00
ON 86973,25331-1,C250,21.00,0.00,21.00,2018/09/13,RE-STOCK,2018/09/27,No,No,C250,C250,,154.00,3234.00,0.00,3234.00
ON 86977,VDL1414-2,SUN91,100.00,85.00,15.00,2018/09/13,1414-2,2018/10/13,No,No,SUN91,SUN91,,565.47,56547.00,0.00,56547.00
ON 87097,VDL1907-1,SUN505,90.00,80.00,10.00,2018/09/21,1907-1,2018/10/08,No,No,SUN505,SUN505,,65.00,5850.00,0.00,5850.00
ON 87204,10496-1,T700,10.00,0.00,10.00,2018/10/08,RE-STOCK,2018/10/15,No,No,T700,T700,,4.16,41.60,0.00,41.60
ON 87204,27166-1,T700,1.00,0.00,1.00,2018/10/08,RE-STOCK,2018/10/15,No,No,T700,T700,,5.78,5.78,0.00,5.78
ON 87208,,SUN588,2.00,0.00,2.00,2018/10/08,Baloo 13957,2018/10/08,No,No,SUN588,SUN588,,899.33,1798.66,0.00,1798.66
ON 87261,,T700,1.00,0.00,1.00,2018/10/12,1808305,2018/10/12,No,No,T700,T700,,808.23,808.23,0.00,808.23
ON 87329,PM-1288-VS-LS,SUN527,200.00,150.00,50.00,2018/10/17,BLANKET,2018/10/17,No,No,SUN527,SUN527,,95.86,19172.00,0.00,19172.00
ON 87329,PMMB153CMV142AMP,SUN527,200.00,170.00,30.00,2018/10/17,BLANKET,2018/10/17,No,No,SUN527,SUN527,,10.31,2062.00,0.00,2062.00
ON 87334,35100-1,T700,3.00,0.00,3.00,2018/10/17,RE-STOCK,2018/10/31,No,No,T700,T700,,229.74,689.22,0.00,689.22
ON 87334,40068-2,T700,3.00,0.00,3.00,2018/10/17,RE-STOCK,2018/10/24,No,No,T700,T700,,2.29,6.87,0.00,6.87
ON 87398,,W045,8.00,0.00,8.00,2018/10/24,17568-17575,2018/10/24,No,No,W045,W045,,50.00,400.00,0.00,400.00
ON 87518,,SUN409,1.00,0.00,1.00,2018/11/01,17790,2018/11/01,No,No,SUN409,SUN409,,200.48,200.48,0.00,200.48
ON 87548,EO-00-91-21-88,V080,60.00,20.00,40.00,2018/11/05,TRANSIT PUMP,2018/11/05,No,No,V080,V080,,353.91,21234.60,0.00,21234.60
ON 87566,VDL1017-111,SUN445,50.00,40.00,10.00,2018/11/06,SLIDING STEP,2018/11/06,No,No,SUN445,SUN445,,24.05,1202.50,0.00,1202.50
ON 87566,VDL1017-112,SUN445,50.00,40.00,10.00,2018/11/06,SLIDING STEP,2018/11/06,No,No,SUN445,SUN445,,4.50,225.00,0.00,225.00
ON 87566,VDL1017-99/1,SUN445,50.00,40.00,10.00,2018/11/06,SLIDING STEP,2018/11/06,No,No,SUN445,SUN445,,38.00,1900.00,0.00,1900.00
ON 87566,VDL1017-99/5,SUN445,50.00,40.00,10.00,2018/11/06,SLIDING STEP,2018/11/06,No,No,SUN445,SUN445,,11.00,550.00,0.00,550.00
ON 87577,,SUN276,200.00,150.00,50.00,2018/11/06,CAGE BOX,2018/11/06,No,No,SUN276,SUN276,,15.35,3070.00,0.00,3070.00
ON 87580,PM-HVS-4.25M2,SUN527,50.00,0.00,50.00,2018/11/06,BLANKET,2018/11/06,No,No,SUN527,SUN527,,12.78,639.00,0.00,639.00
ON 87611,,SUN554,12.00,5.00,7.00,2018/11/08,S Power,2018/11/08,No,No,SUN554,SUN554,,465.00,5580.00,0.00,5580.00
ON 87619,,SUN839,1.00,0.00,1.00,2018/11/08,EPICOR,2018/11/08,No,No,SUN839,SUN839,,37500.00,37500.00,0.00,37500.00
ON 87628,VDL2000-005,SUN417,46.00,30.00,16.00,2018/11/09,RE-STOCK,2018/11/09,No,No,SUN752,SUN752,,990.25,45551.50,0.00,45551.50
ON 87640,10236-1,T700,1.00,0.00,1.00,2018/11/12,RE-STOCK,2018/11/26,No,No,T700,T700,,13.50,13.50,0.00,13.50
ON 87641,4773-9,T700,2.00,0.00,2.00,2018/11/12,RE-STOCK,2018/12/17,No,No,T700,T700,,423.17,846.34,0.00,846.34
ON 87676,,SUN732,1.00,0.00,1.00,2018/11/14,D Carney,2018/11/14,No,No,SUN732,SUN732,,340.02,340.02,0.00,340.02
ON 87689,HK-1260-57,T700,2.00,0.00,2.00,2018/11/16,RE-STOCK,2018/11/16,No,No,T700,T700,,1440.94,2881.88,0.00,2881.88
ON 87706,4541-1,T700,50.00,12.00,38.00,2018/11/19,RE-STOCK,2018/11/26,No,No,T700,T700,,2.30,115.00,0.00,115.00
ON 87717,,V080,24.00,0.00,24.00,2018/11/20,LAT-38-135H,2018/11/20,No,No,V080,V080,,23596.16,566307.84,0.00,566307.84
ON 87734,100M ROPE,SUN26,1.00,0.00,1.00,2018/11/21,100M ROPE,2018/11/21,No,No,SUN26,SUN26,,182.03,182.03,0.00,182.03
ON 87767,,V080,13.00,0.00,13.00,2018/11/22,ServiceDongles,2018/11/22,No,No,V080,V080,,65.22,847.86,0.00,847.86
ON 87771,VDL1789-38,SUN669,1.00,0.00,1.00,2018/11/22,1789-38,2018/11/22,No,No,SUN669,SUN669,,121.13,121.13,0.00,121.13
ON 87777,,T700,3.00,0.00,3.00,2018/11/23,SST-37EIH,2018/11/23,No,No,T700,T700,,18942.33,56826.99,0.00,56826.99
ON 87780,,S600,1.00,0.00,1.00,2018/11/23,17679,2018/11/23,No,No,S600,S600,,450.00,450.00,0.00,450.00
ON 87788,,SUN366,1.00,0.00,1.00,2018/11/26,Update VOE,2018/11/26,No,No,SUN366,SUN366,,0.00,0.00,0.00,0.00
ON 87807,VDL2000-043,SUN842,3.00,0.00,3.00,2018/11/27,2000-043,2018/11/27,No,No,SUN842,SUN842,,3202.07,9606.21,0.00,9606.21
ON 87811,VDL1515-15,SUN91,100.00,24.00,76.00,2018/11/27,1515-15,2018/12/07,No,No,SUN91,SUN91,,999.00,99900.00,0.00,99900.00
ON 87830,,SUN409,15.00,0.00,15.00,2018/11/28,VTX240,2018/11/28,No,No,SUN409,SUN409,,29470.00,442050.00,0.00,442050.00
ON 87844,,SUN317,1.00,0.00,1.00,2018/11/29,J Fearon,2018/11/29,No,No,SUN317,SUN317,,108.33,108.33,0.00,108.33
ON 87851,VDL1777-4/2,SUN669,1.00,0.00,1.00,2018/11/29,STOCK,2018/11/29,No,No,SUN669,SUN669,,21.74,21.74,0.00,21.74
ON 87851,VDL1789-49,SUN669,2.00,0.00,2.00,2018/11/29,STOCK,2018/11/29,No,No,SUN669,SUN669,,295.02,590.04,0.00,590.04
ON 87876,16926-1,T700,2.00,0.00,2.00,2018/12/03,SERVICE STOCK,2018/12/10,No,No,T700,T700,,485.97,971.94,0.00,971.94
